trial_id,selection,technique,no_of_grids,target_no,target_location,time_taken_ms,distance_traveled_px,no_of_attempts,no_of_visited_cells,tot_dist_travelled_left_palm,tot_dist_travelled_right_palm
222,dwell,S2H_ABS,5,12,"(1,2)",4695.554856,745.503736,4,11,91.066183,388.772880
223,dwell,S2H_ABS,5,13,"(2,1)",1706.927451,282.540375,1,2,116.212125,190.607317
224,dwell,S2H_ABS,5,14,"(3,3)",1920.213565,251.964107,2,3,167.542512,126.160502
225,dwell,S2H_ABS,5,15,"(1,0)",3606.404205,630.226970,4,13,201.360127,358.196646
226,dwell,S2H_ABS,5,16,"(1,1)",5055.129528,1154.523916,3,7,128.548704,327.529975
227,dwell,S2H_ABS,5,17,"(4,1)",2032.986493,200.300333,2,2,232.000668,113.677125
228,dwell,S2H_ABS,5,18,"(0,3)",2971.343823,452.888170,1,6,234.001648,291.877032
229,dwell,S2H_ABS,5,19,"(3,2)",1906.392066,227.811410,2,4,186.572157,134.604203
230,dwell,H2S,5,0,"(1,0)",9425.710521,720.122512,2,21,174.230855,445.492778
231,dwell,H2S,5,1,"(3,2)",1805.412635,111.173901,1,7,20.300563,83.774994
232,dwell,H2S,5,2,"(2,0)",7975.043678,509.255870,1,13,123.170093,265.419458
233,dwell,H2S,3,0,"(1,2)",3437.072497,251.948391,2,7,73.983227,207.675916
234,dwell,H2S,3,1,"(2,0)",1806.231727,114.861603,1,6,28.119695,70.930285
235,dwell,H2S,3,2,"(2,2)",2739.924727,182.434784,3,9,44.485281,123.044226
236,dwell,H2S,3,3,"(1,1)",1688.440207,170.023689,1,3,39.100288,79.154972
237,dwell,H2S,3,4,"(0,1)",1571.749661,126.536964,2,7,27.527336,96.830364
238,dwell,H2S,3,5,"(2,1)",3843.815712,269.318026,4,14,55.678767,152.338217
239,dwell,H2S,3,6,"(0,0)",1570.454907,145.020551,1,6,39.460118,94.234506
240,dwell,H2S,3,7,"(1,0)",3030.101486,306.407326,1,9,76.138605,168.672554
241,dwell,H2S,3,8,"(0,2)",1920.477650,173.716213,1,4,37.291268,122.662573
242,dwell,H2S,3,9,"(1,2)",1749.300845,192.399567,3,7,30.607699,138.790916
243,dwell,H2S,3,10,"(2,0)",1860.874074,138.328681,1,5,29.135563,100.089569
244,dwell,H2S,3,11,"(2,2)",2036.232109,195.032473,1,2,20.485281,111.915932
245,dwell,H2S,3,12,"(1,1)",1456.125190,156.040806,1,2,28.734541,87.850986
246,dwell,S2H_ABS,5,0,"(2,4)",2010.138335,286.911848,4,5,138.237664,115.883226
247,dwell,S2H_ABS,5,1,"(4,4)",2131.664874,201.832279,2,4,118.791910,83.080811
248,dwell,S2H_ABS,5,2,"(3,0)",2404.254882,210.195223,1,3,110.324672,139.262657
249,dwell,S2H_ABS,3,0,"(2,2)",1728.672605,201.446927,1,1,216.401063,116.513271
250,dwell,S2H_ABS,3,1,"(0,0)",6962.753188,1107.786188,5,14,432.934737,568.431687
251,dwell,S2H_ABS,3,2,"(0,2)",5297.282510,649.039553,4,7,102.767425,327.112872
252,dwell,S2H_ABS,3,3,"(0,1)",3463.072693,467.978260,2,8,154.107444,345.053576
253,dwell,S2H_ABS,3,4,"(1,1)",1931.747304,285.344344,2,5,98.079591,179.425406
254,dwell,S2H_ABS,5,0,"(0,1)",2929.409319,404.100415,1,2,102.710730,257.248209
255,dwell,S2H_REL,5,0,"(1,2)",2129.072667,189.827650,1,6,39.397968,146.724655
256,dwell,S2H_REL,5,1,"(2,1)",3063.367684,258.503659,1,13,39.061773,109.944520
257,dwell,S2H_REL,5,2,"(1,4)",2390.374383,268.559473,2,8,13.828427,117.769105
258,dwell,S2H_REL,5,3,"(4,2)",7188.740075,567.255392,2,7,89.484753,294.162522
259,dwell,S2H_ABS,5,0,"(1,1)",98.529313,15.556349,0,3,9.486833,3.605551
260,tap,S2H_REL,5,0,"(1,4)",4791.052334,222.173504,1,11,47.135563,195.921147
261,tap,S2H_ABS,5,0,"(1,1)",3326.958008,474.328508,1,4,90.762618,226.282960
262,tap,S2H_ABS,5,1,"(2,0)",4589.247409,429.212098,24,8,151.093367,477.361038
263,tap,S2H_ABS,5,2,"(4,4)",2990.264868,167.512636,16,4,223.050314,107.980859
264,tap,S2H_ABS,5,3,"(1,2)",6457.046225,718.867798,12,11,148.409818,256.438531
265,tap,S2H_ABS,5,4,"(0,3)",3195.542561,357.507015,12,4,73.601970,249.194970
266,tap,S2H_ABS,5,5,"(3,1)",4791.853564,346.207585,15,6,225.564847,398.862821
267,tap,S2H_ABS,5,6,"(3,2)",4396.769195,277.285754,19,6,254.325638,306.690927
268,tap,S2H_ABS,5,7,"(2,3)",2796.497638,230.305685,19,4,110.433966,152.747527
269,tap,S2H_ABS,5,8,"(1,4)",3127.702978,47.708041,1,3,83.075602,217.990664
270,tap,S2H_ABS,5,9,"(4,3)",2865.627257,137.547377,11,3,186.914349,102.629636
271,tap,S2H_ABS,5,10,"(4,1)",2588.731390,126.837018,11,3,54.379432,96.371635
272,tap,S2H_ABS,5,11,"(3,0)",2920.811144,161.010630,15,5,62.499317,143.331333
273,tap,S2H_ABS,5,12,"(4,0)",2461.140692,141.627967,10,5,59.422521,119.578438
274,tap,S2H_ABS,5,13,"(4,2)",2258.926944,90.389828,10,3,28.291268,72.847790
275,tap,S2H_ABS,5,14,"(0,1)",4591.258572,526.846110,11,9,303.359668,526.075679
276,tap,S2H_ABS,5,15,"(0,2)",2725.982929,141.797537,11,3,71.803642,522.010098
277,tap,S2H_ABS,5,16,"(2,4)",2593.677845,252.921622,12,3,100.945023,156.445352
278,tap,S2H_ABS,5,17,"(0,0)",9316.847119,752.528620,53,10,186.997859,778.695084
279,tap,S2H_ABS,5,18,"(2,2)",5055.663123,318.263574,12,12,141.735187,412.098748
280,tap,S2H_ABS,5,19,"(1,0)",4457.215372,391.812236,10,7,135.700283,390.598543
281,tap,H2S,5,0,"(0,3)",4593.258168,224.800076,2,15,97.568827,67.602312
282,tap,H2S,5,1,"(0,2)",3190.490409,156.279277,9,10,84.051556,48.656326
283,tap,H2S,5,2,"(2,4)",4455.276635,219.748502,8,10,63.507194,270.549702
284,tap,H2S,5,3,"(1,0)",2723.388514,88.758333,10,6,57.258152,50.414533
285,tap,H2S,5,4,"(2,2)",3459.985297,135.227467,8,12,60.889672,63.468555
286,tap,H2S,5,5,"(3,4)",3526.499275,194.220570,9,7,49.264553,262.843191
287,tap,H2S,5,6,"(4,1)",2390.137137,60.683201,12,2,49.734701,29.119695
288,tap,S2H_REL,5,0,"(2,3)",2264.117991,90.524669,1,7,43.071068,70.490128
289,tap,S2H_REL,5,1,"(4,3)",2064.242073,48.012617,10,4,27.135563,30.614272
290,dwell,S2H_REL,5,0,"(2,2)",5854.396896,164.699267,2,7,77.043825,104.392532
291,tap,S2H_REL,5,0,"(1,0)",6121.346919,229.322308,11,11,115.932529,176.012663
292,tap,S2H_ABS,5,0,"(1,1)",4393.492192,673.749406,64,9,120.096414,217.351763
