trial_id,selection,technique,no_of_grids,target_no,target_location,time_taken_ms,distance_traveled_px,no_of_attempts,no_of_visited_cells,tot_dist_travelled_left_palm,tot_dist_travelled_right_palm
140,dwell,S2H_ABS,3,0,"(1,1)",1574.695122,252.730232,1,3,114.601051,120.338351
141,dwell,S2H_ABS,3,1,"(0,0)",1850.413483,404.967865,2,4,84.139865,244.335468
142,dwell,S2H_ABS,3,2,"(0,1)",2320.062076,32.650441,2,5,64.960460,210.236506
143,dwell,S2H_ABS,3,3,"(1,0)",1546.121979,380.598755,2,5,77.215759,206.598283
144,dwell,S2H_ABS,3,4,"(0,2)",2585.005630,164.898485,1,4,107.091519,208.948135
145,dwell,S2H_ABS,3,5,"(2,2)",2346.551413,123.861968,1,4,204.577999,285.209305
146,dwell,S2H_ABS,3,6,"(2,0)",2078.896606,68.602731,1,3,120.029469,119.693730
147,dwell,S2H_ABS,3,7,"(2,1)",1923.497647,174.652725,1,2,120.120274,85.703942
148,dwell,S2H_ABS,3,8,"(1,2)",1658.812082,327.204480,1,5,95.016248,141.111398
149,dwell,S2H_ABS,3,9,"(1,1)",2558.729837,44.429356,2,4,59.718296,248.331357
150,dwell,S2H_ABS,3,10,"(0,0)",2203.909161,196.219160,1,5,100.858298,273.598544
151,dwell,S2H_ABS,3,11,"(0,1)",2620.972266,77.364734,2,5,100.306445,305.801700
152,dwell,S2H_ABS,3,12,"(1,0)",2704.471789,70.405477,1,5,137.855942,235.973420
153,dwell,S2H_ABS,3,13,"(0,2)",2274.952127,456.513114,1,6,72.388880,232.207285
154,dwell,S2H_ABS,3,14,"(2,2)",1897.030909,288.373401,2,9,177.364158,175.912641
155,dwell,S2H_ABS,3,15,"(2,0)",1926.949785,244.489364,1,3,136.484016,170.262644
156,dwell,S2H_ABS,3,16,"(2,1)",1604.727496,137.999258,1,2,84.286476,83.355808
