trial_id,selection,technique,no_of_grids,target_no,target_location,time_taken_ms,distance_traveled_px,no_of_attempts,no_of_visited_cells,tot_dist_travelled_left_palm,tot_dist_travelled_right_palm,landmarks_left,landmarks_right
198,dwell,H2S,3,8,"(2,0)",50.671541,0.000000,0,0,0.000000,0.000000,"(0.271531,0.705413),(0.324304,0.685644),(0.369078,0.649937),(0.399676,0.621966),(0.420697,0.610085),(0.329576,0.536247),(0.343806,0.473755),(0.350416,0.432559),(0.355182,0.394265),(0.293980,0.523007),(0.295723,0.451030),(0.298128,0.408257),(0.300945,0.372424),(0.261953,0.529396),(0.252300,0.460146),(0.248761,0.417560),(0.249070,0.381112),(0.231524,0.552855),(0.203288,0.506699),(0.185090,0.476362),(0.171121,0.444437)","(0.271531,0.705413),(0.324304,0.685644),(0.369078,0.649937),(0.399676,0.621966),(0.420697,0.610085),(0.329576,0.536247),(0.343806,0.473755),(0.350416,0.432559),(0.355182,0.394265),(0.293980,0.523007),(0.295723,0.451030),(0.298128,0.408257),(0.300945,0.372424),(0.261953,0.529396),(0.252300,0.460146),(0.248761,0.417560),(0.249070,0.381112),(0.231524,0.552855),(0.203288,0.506699),(0.185090,0.476362),(0.171121,0.444437)"
198,dwell,H2S,3,8,"(2,0)",99.942168,19.209373,0,0,1.414214,3.000000,"(0.272624,0.707751),(0.325972,0.685034),(0.371217,0.649489),(0.402649,0.621354),(0.424433,0.609449),(0.330176,0.536986),(0.343936,0.473855),(0.350613,0.432316),(0.355790,0.393949),(0.294679,0.524669),(0.295797,0.451712),(0.297855,0.408422),(0.300520,0.372694),(0.262694,0.530986),(0.252695,0.460864),(0.249191,0.417534),(0.249595,0.380742),(0.232315,0.554045),(0.203608,0.507596),(0.185407,0.476863),(0.171445,0.444548)","(0.272624,0.707751),(0.325972,0.685034),(0.371217,0.649489),(0.402649,0.621354),(0.424433,0.609449),(0.330176,0.536986),(0.343936,0.473855),(0.350613,0.432316),(0.355790,0.393949),(0.294679,0.524669),(0.295797,0.451712),(0.297855,0.408422),(0.300520,0.372694),(0.262694,0.530986),(0.252695,0.460864),(0.249191,0.417534),(0.249595,0.380742),(0.232315,0.554045),(0.203608,0.507596),(0.185407,0.476863),(0.171445,0.444548)"
198,dwell,H2S,3,8,"(2,0)",152.016196,29.209373,0,0,2.414214,4.414214,"(0.272743,0.708825),(0.326536,0.685459),(0.372236,0.650138),(0.404177,0.621436),(0.426420,0.608975),(0.330377,0.537594),(0.344262,0.473821),(0.351002,0.432740),(0.356522,0.394741),(0.294845,0.525340),(0.295803,0.452129),(0.297883,0.409060),(0.300678,0.373276),(0.262796,0.531655),(0.252277,0.461540),(0.248615,0.418375),(0.248900,0.381480),(0.232228,0.554535),(0.203453,0.508093),(0.185344,0.477958),(0.171554,0.446051)","(0.272743,0.708825),(0.326536,0.685459),(0.372236,0.650138),(0.404177,0.621436),(0.426420,0.608975),(0.330377,0.537594),(0.344262,0.473821),(0.351002,0.432740),(0.356522,0.394741),(0.294845,0.525340),(0.295803,0.452129),(0.297883,0.409060),(0.300678,0.373276),(0.262796,0.531655),(0.252277,0.461540),(0.248615,0.418375),(0.248900,0.381480),(0.232228,0.554535),(0.203453,0.508093),(0.185344,0.477958),(0.171554,0.446051)"
198,dwell,H2S,3,8,"(2,0)",198.853007,39.108868,0,0,3.414214,5.414214,"(0.271208,0.710551),(0.325993,0.685198),(0.372287,0.647784),(0.403788,0.617315),(0.423467,0.605634),(0.330025,0.537367),(0.344477,0.472881),(0.351260,0.432265),(0.356852,0.394637),(0.294114,0.525214),(0.295273,0.451343),(0.297407,0.408803),(0.300590,0.373611),(0.262217,0.531391),(0.252041,0.460605),(0.248307,0.417776),(0.248776,0.380746),(0.231894,0.553941),(0.203433,0.507569),(0.185369,0.477797),(0.171706,0.445426)","(0.271208,0.710551),(0.325993,0.685198),(0.372287,0.647784),(0.403788,0.617315),(0.423467,0.605634),(0.330025,0.537367),(0.344477,0.472881),(0.351260,0.432265),(0.356852,0.394637),(0.294114,0.525214),(0.295273,0.451343),(0.297407,0.408803),(0.300590,0.373611),(0.262217,0.531391),(0.252041,0.460605),(0.248307,0.417776),(0.248776,0.380746),(0.231894,0.553941),(0.203433,0.507569),(0.185369,0.477797),(0.171706,0.445426)"
198,dwell,H2S,3,8,"(2,0)",250.672811,55.387688,0,0,4.414214,6.828427,"(0.269982,0.711408),(0.324254,0.686711),(0.368838,0.650854),(0.397626,0.621832),(0.415096,0.612933),(0.329531,0.538033),(0.344254,0.473557),(0.351603,0.433187),(0.357841,0.395446),(0.293737,0.525453),(0.295498,0.450940),(0.298108,0.408414),(0.301858,0.373421),(0.262149,0.531319),(0.252819,0.459709),(0.249893,0.416848),(0.251096,0.379802),(0.231884,0.553485),(0.203803,0.506494),(0.186062,0.476674),(0.172852,0.444124)","(0.269982,0.711408),(0.324254,0.686711),(0.368838,0.650854),(0.397626,0.621832),(0.415096,0.612933),(0.329531,0.538033),(0.344254,0.473557),(0.351603,0.433187),(0.357841,0.395446),(0.293737,0.525453),(0.295498,0.450940),(0.298108,0.408414),(0.301858,0.373421),(0.262149,0.531319),(0.252819,0.459709),(0.249893,0.416848),(0.251096,0.379802),(0.231884,0.553485),(0.203803,0.506494),(0.186062,0.476674),(0.172852,0.444124)"
198,dwell,H2S,3,8,"(2,0)",298.682677,71.788908,0,0,6.650282,11.071068,"(0.268178,0.708765),(0.319572,0.688171),(0.361724,0.657754),(0.389135,0.636438),(0.409094,0.634460),(0.329238,0.539008),(0.344512,0.476123),(0.352046,0.436690),(0.358560,0.400779),(0.293599,0.525381),(0.296770,0.452250),(0.299787,0.409594),(0.304098,0.374586),(0.261961,0.531170),(0.254014,0.459909),(0.251867,0.417797),(0.253424,0.381266),(0.231525,0.553814),(0.204931,0.506683),(0.187726,0.476259),(0.174464,0.443289)","(0.268178,0.708765),(0.319572,0.688171),(0.361724,0.657754),(0.389135,0.636438),(0.409094,0.634460),(0.329238,0.539008),(0.344512,0.476123),(0.352046,0.436690),(0.358560,0.400779),(0.293599,0.525381),(0.296770,0.452250),(0.299787,0.409594),(0.304098,0.374586),(0.261961,0.531170),(0.254014,0.459909),(0.251867,0.417797),(0.253424,0.381266),(0.231525,0.553814),(0.204931,0.506683),(0.187726,0.476259),(0.174464,0.443289)"
198,dwell,H2S,3,8,"(2,0)",353.709420,86.654976,0,0,8.064495,16.071068,"(0.268858,0.705567),(0.316957,0.687423),(0.354570,0.659689),(0.377709,0.643171),(0.396302,0.646407),(0.330448,0.538287),(0.345973,0.476470),(0.353659,0.437785),(0.360292,0.402902),(0.294362,0.524453),(0.298106,0.452573),(0.301241,0.409901),(0.305476,0.375298),(0.262424,0.530353),(0.254671,0.459101),(0.252299,0.417330),(0.253539,0.381140),(0.231698,0.553503),(0.205245,0.506123),(0.187919,0.475273),(0.174173,0.442360)","(0.268858,0.705567),(0.316957,0.687423),(0.354570,0.659689),(0.377709,0.643171),(0.396302,0.646407),(0.330448,0.538287),(0.345973,0.476470),(0.353659,0.437785),(0.360292,0.402902),(0.294362,0.524453),(0.298106,0.452573),(0.301241,0.409901),(0.305476,0.375298),(0.262424,0.530353),(0.254671,0.459101),(0.252299,0.417330),(0.253539,0.381140),(0.231698,0.553503),(0.205245,0.506123),(0.187919,0.475273),(0.174173,0.442360)"
198,dwell,H2S,3,8,"(2,0)",399.996669,102.686196,0,0,10.300563,20.313708,"(0.272508,0.701859),(0.319274,0.681609),(0.353539,0.650113),(0.372888,0.634927),(0.389631,0.644429),(0.330521,0.534947),(0.345087,0.474046),(0.352186,0.434571),(0.357824,0.398992),(0.294602,0.522131),(0.298881,0.452124),(0.302017,0.409324),(0.306096,0.375362),(0.262766,0.528765),(0.255788,0.459034),(0.253258,0.416860),(0.254296,0.380875),(0.231960,0.552176),(0.206098,0.505797),(0.189433,0.474971),(0.176407,0.442466)","(0.272508,0.701859),(0.319274,0.681609),(0.353539,0.650113),(0.372888,0.634927),(0.389631,0.644429),(0.330521,0.534947),(0.345087,0.474046),(0.352186,0.434571),(0.357824,0.398992),(0.294602,0.522131),(0.298881,0.452124),(0.302017,0.409324),(0.306096,0.375362),(0.262766,0.528765),(0.255788,0.459034),(0.253258,0.416860),(0.254296,0.380875),(0.231960,0.552176),(0.206098,0.505797),(0.189433,0.474971),(0.176407,0.442466)"
198,dwell,H2S,3,8,"(2,0)",450.678180,116.686196,0,0,12.536631,26.144660,"(0.273680,0.698011),(0.319241,0.678113),(0.352756,0.646378),(0.369619,0.634119),(0.384185,0.648149),(0.330146,0.532803),(0.344282,0.472735),(0.351663,0.433496),(0.356968,0.397930),(0.293941,0.520413),(0.297898,0.451574),(0.301555,0.408913),(0.305314,0.374676),(0.262231,0.527709),(0.255334,0.459108),(0.253175,0.416937),(0.254169,0.381091),(0.231740,0.551479),(0.206242,0.506173),(0.189520,0.475495),(0.176295,0.443466)","(0.273680,0.698011),(0.319241,0.678113),(0.352756,0.646378),(0.369619,0.634119),(0.384185,0.648149),(0.330146,0.532803),(0.344282,0.472735),(0.351663,0.433496),(0.356968,0.397930),(0.293941,0.520413),(0.297898,0.451574),(0.301555,0.408913),(0.305314,0.374676),(0.262231,0.527709),(0.255334,0.459108),(0.253175,0.416937),(0.254169,0.381091),(0.231740,0.551479),(0.206242,0.506173),(0.189520,0.475495),(0.176295,0.443466)"
198,dwell,H2S,3,8,"(2,0)",450.678180,116.686196,0,0,12.536631,26.144660,"(0.273680,0.698011),(0.319241,0.678113),(0.352756,0.646378),(0.369619,0.634119),(0.384185,0.648149),(0.330146,0.532803),(0.344282,0.472735),(0.351663,0.433496),(0.356968,0.397930),(0.293941,0.520413),(0.297898,0.451574),(0.301555,0.408913),(0.305314,0.374676),(0.262231,0.527709),(0.255334,0.459108),(0.253175,0.416937),(0.254169,0.381091),(0.231740,0.551479),(0.206242,0.506173),(0.189520,0.475495),(0.176295,0.443466)","(0.273680,0.698011),(0.319241,0.678113),(0.352756,0.646378),(0.369619,0.634119),(0.384185,0.648149),(0.330146,0.532803),(0.344282,0.472735),(0.351663,0.433496),(0.356968,0.397930),(0.293941,0.520413),(0.297898,0.451574),(0.301555,0.408913),(0.305314,0.374676),(0.262231,0.527709),(0.255334,0.459108),(0.253175,0.416937),(0.254169,0.381091),(0.231740,0.551479),(0.206242,0.506173),(0.189520,0.475495),(0.176295,0.443466)"
