trial_id,selection,technique,no_of_grids,target_no,target_location,time_taken_ms,distance_traveled_px,no_of_attempts,no_of_visited_cells,tot_dist_travelled_left_palm,tot_dist_travelled_right_palm,landmarks_left,landmarks_right
97,dwell,S2H_ABS,3,7,"(2,1)",51.466277,0.000000,0,0,0.000000,0.000000,"(0.567797,0.819491),(0.616116,0.794915),(0.657321,0.757457),(0.692608,0.738613),(0.722809,0.738313),(0.617266,0.643050),(0.625174,0.571834),(0.637140,0.529657),(0.651816,0.494334),(0.589635,0.639436),(0.592917,0.561978),(0.607332,0.513665),(0.626548,0.479695),(0.565051,0.653985),(0.558482,0.580123),(0.567704,0.533497),(0.584207,0.499968),(0.543766,0.683126),(0.523407,0.630946),(0.517555,0.594493),(0.519422,0.559945)","(0.567797,0.819491),(0.616116,0.794915),(0.657321,0.757457),(0.692608,0.738613),(0.722809,0.738313),(0.617266,0.643050),(0.625174,0.571834),(0.637140,0.529657),(0.651816,0.494334),(0.589635,0.639436),(0.592917,0.561978),(0.607332,0.513665),(0.626548,0.479695),(0.565051,0.653985),(0.558482,0.580123),(0.567704,0.533497),(0.584207,0.499968),(0.543766,0.683126),(0.523407,0.630946),(0.517555,0.594493),(0.519422,0.559945)"
97,dwell,S2H_ABS,3,7,"(2,1)",101.379638,7.071068,0,0,0.000000,2.000000,"(0.568788,0.819097),(0.616604,0.795459),(0.657791,0.757660),(0.693291,0.738558),(0.723426,0.738984),(0.617057,0.642645),(0.624489,0.570900),(0.636818,0.528067),(0.652066,0.492865),(0.589506,0.638771),(0.591862,0.561722),(0.606201,0.512833),(0.625278,0.478940),(0.565167,0.652863),(0.558181,0.579129),(0.567243,0.532784),(0.583487,0.500106),(0.544153,0.681189),(0.523512,0.628877),(0.517724,0.592371),(0.519469,0.558045)","(0.568788,0.819097),(0.616604,0.795459),(0.657791,0.757660),(0.693291,0.738558),(0.723426,0.738984),(0.617057,0.642645),(0.624489,0.570900),(0.636818,0.528067),(0.652066,0.492865),(0.589506,0.638771),(0.591862,0.561722),(0.606201,0.512833),(0.625278,0.478940),(0.565167,0.652863),(0.558181,0.579129),(0.567243,0.532784),(0.583487,0.500106),(0.544153,0.681189),(0.523512,0.628877),(0.517724,0.592371),(0.519469,0.558045)"
97,dwell,S2H_ABS,3,7,"(2,1)",149.913422,10.233345,0,0,1.414214,3.414214,"(0.569150,0.817861),(0.617147,0.794364),(0.657973,0.756335),(0.692832,0.737199),(0.722557,0.737883),(0.617329,0.640580),(0.624441,0.568959),(0.636856,0.526349),(0.652347,0.491590),(0.589459,0.636781),(0.591812,0.559852),(0.606379,0.511118),(0.625660,0.477738),(0.564892,0.651057),(0.557803,0.577107),(0.566837,0.530587),(0.582907,0.497758),(0.543701,0.679555),(0.523421,0.626957),(0.517940,0.590439),(0.519724,0.556279)","(0.569150,0.817861),(0.617147,0.794364),(0.657973,0.756335),(0.692832,0.737199),(0.722557,0.737883),(0.617329,0.640580),(0.624441,0.568959),(0.636856,0.526349),(0.652347,0.491590),(0.589459,0.636781),(0.591812,0.559852),(0.606379,0.511118),(0.625660,0.477738),(0.564892,0.651057),(0.557803,0.577107),(0.566837,0.530587),(0.582907,0.497758),(0.543701,0.679555),(0.523421,0.626957),(0.517940,0.590439),(0.519724,0.556279)"
97,dwell,S2H_ABS,3,7,"(2,1)",199.403506,14.233345,0,0,2.828427,4.414214,"(0.568139,0.815654),(0.616594,0.791968),(0.657580,0.754799),(0.692625,0.735913),(0.722250,0.736794),(0.616445,0.638385),(0.623923,0.567022),(0.636276,0.524759),(0.651513,0.490191),(0.588516,0.634281),(0.591283,0.557262),(0.605948,0.509057),(0.625203,0.476513),(0.563959,0.648268),(0.557076,0.574254),(0.566111,0.527821),(0.582304,0.495308),(0.542888,0.676617),(0.522426,0.624509),(0.516939,0.588441),(0.518824,0.554952)","(0.568139,0.815654),(0.616594,0.791968),(0.657580,0.754799),(0.692625,0.735913),(0.722250,0.736794),(0.616445,0.638385),(0.623923,0.567022),(0.636276,0.524759),(0.651513,0.490191),(0.588516,0.634281),(0.591283,0.557262),(0.605948,0.509057),(0.625203,0.476513),(0.563959,0.648268),(0.557076,0.574254),(0.566111,0.527821),(0.582304,0.495308),(0.542888,0.676617),(0.522426,0.624509),(0.516939,0.588441),(0.518824,0.554952)"
97,dwell,S2H_ABS,3,7,"(2,1)",248.393673,22.233345,0,0,4.242641,6.414214,"(0.566394,0.813690),(0.615316,0.789648),(0.656947,0.753201),(0.692236,0.734331),(0.720507,0.734425),(0.615007,0.636523),(0.623433,0.565174),(0.635826,0.523103),(0.650697,0.488082),(0.587157,0.632485),(0.590150,0.554837),(0.604906,0.506768),(0.624003,0.473646),(0.562790,0.646742),(0.556058,0.572218),(0.565494,0.525747),(0.581930,0.493385),(0.542022,0.675244),(0.521238,0.623036),(0.515281,0.586568),(0.516873,0.552630)","(0.566394,0.813690),(0.615316,0.789648),(0.656947,0.753201),(0.692236,0.734331),(0.720507,0.734425),(0.615007,0.636523),(0.623433,0.565174),(0.635826,0.523103),(0.650697,0.488082),(0.587157,0.632485),(0.590150,0.554837),(0.604906,0.506768),(0.624003,0.473646),(0.562790,0.646742),(0.556058,0.572218),(0.565494,0.525747),(0.581930,0.493385),(0.542022,0.675244),(0.521238,0.623036),(0.515281,0.586568),(0.516873,0.552630)"
97,dwell,S2H_ABS,3,7,"(2,1)",299.888857,30.479557,0,0,5.656854,8.650282,"(0.564795,0.811773),(0.614298,0.787521),(0.656157,0.751299),(0.691052,0.732111),(0.718118,0.731022),(0.613998,0.635089),(0.623155,0.563706),(0.635728,0.521641),(0.650165,0.486031),(0.586058,0.631337),(0.589500,0.552948),(0.604047,0.504585),(0.622467,0.469993),(0.561524,0.645663),(0.555043,0.570725),(0.564371,0.523924),(0.580292,0.490603),(0.540373,0.674148),(0.519779,0.621234),(0.513038,0.584314),(0.513632,0.549156)","(0.564795,0.811773),(0.614298,0.787521),(0.656157,0.751299),(0.691052,0.732111),(0.718118,0.731022),(0.613998,0.635089),(0.623155,0.563706),(0.635728,0.521641),(0.650165,0.486031),(0.586058,0.631337),(0.589500,0.552948),(0.604047,0.504585),(0.622467,0.469993),(0.561524,0.645663),(0.555043,0.570725),(0.564371,0.523924),(0.580292,0.490603),(0.540373,0.674148),(0.519779,0.621234),(0.513038,0.584314),(0.513632,0.549156)"
97,dwell,S2H_ABS,3,7,"(2,1)",345.800392,36.882681,0,0,7.071068,11.812559,"(0.563264,0.809663),(0.613472,0.784699),(0.655556,0.748088),(0.690133,0.728381),(0.716494,0.726543),(0.613154,0.633456),(0.622116,0.561242),(0.634910,0.519610),(0.649927,0.484921),(0.584779,0.629670),(0.588296,0.549848),(0.603291,0.500749),(0.621826,0.465331),(0.559547,0.643900),(0.553633,0.567648),(0.563560,0.520411),(0.579366,0.486820),(0.537498,0.672167),(0.516989,0.618092),(0.510160,0.580971),(0.510283,0.545686)","(0.563264,0.809663),(0.613472,0.784699),(0.655556,0.748088),(0.690133,0.728381),(0.716494,0.726543),(0.613154,0.633456),(0.622116,0.561242),(0.634910,0.519610),(0.649927,0.484921),(0.584779,0.629670),(0.588296,0.549848),(0.603291,0.500749),(0.621826,0.465331),(0.559547,0.643900),(0.553633,0.567648),(0.563560,0.520411),(0.579366,0.486820),(0.537498,0.672167),(0.516989,0.618092),(0.510160,0.580971),(0.510283,0.545686)"
97,dwell,S2H_ABS,3,7,"(2,1)",398.113535,43.882681,0,0,8.485281,16.911579,"(0.560165,0.807481),(0.611408,0.782541),(0.653557,0.745427),(0.688215,0.724617),(0.714532,0.720936),(0.610979,0.631287),(0.619909,0.559764),(0.633135,0.519109),(0.648862,0.485963),(0.582882,0.627154),(0.587094,0.547057),(0.602484,0.497476),(0.621299,0.461540),(0.557426,0.641024),(0.552259,0.564128),(0.562159,0.516046),(0.577861,0.481499),(0.534879,0.669288),(0.513670,0.615473),(0.506451,0.579063),(0.506109,0.544588)","(0.560165,0.807481),(0.611408,0.782541),(0.653557,0.745427),(0.688215,0.724617),(0.714532,0.720936),(0.610979,0.631287),(0.619909,0.559764),(0.633135,0.519109),(0.648862,0.485963),(0.582882,0.627154),(0.587094,0.547057),(0.602484,0.497476),(0.621299,0.461540),(0.557426,0.641024),(0.552259,0.564128),(0.562159,0.516046),(0.577861,0.481499),(0.534879,0.669288),(0.513670,0.615473),(0.506451,0.579063),(0.506109,0.544588)"
97,dwell,S2H_ABS,3,7,"(2,1)",447.108702,53.731539,0,0,10.721349,24.191689,"(0.557618,0.803801),(0.609743,0.777841),(0.651430,0.740663),(0.686372,0.718875),(0.713044,0.714100),(0.608021,0.627242),(0.616933,0.555281),(0.630018,0.514271),(0.645439,0.480929),(0.580140,0.622513),(0.584365,0.542811),(0.599215,0.492591),(0.617717,0.456273),(0.554726,0.635571),(0.550083,0.558975),(0.559281,0.510901),(0.574249,0.476609),(0.531873,0.663437),(0.510121,0.609916),(0.502384,0.573801),(0.501511,0.540157)","(0.557618,0.803801),(0.609743,0.777841),(0.651430,0.740663),(0.686372,0.718875),(0.713044,0.714100),(0.608021,0.627242),(0.616933,0.555281),(0.630018,0.514271),(0.645439,0.480929),(0.580140,0.622513),(0.584365,0.542811),(0.599215,0.492591),(0.617717,0.456273),(0.554726,0.635571),(0.550083,0.558975),(0.559281,0.510901),(0.574249,0.476609),(0.531873,0.663437),(0.510121,0.609916),(0.502384,0.573801),(0.501511,0.540157)"
97,dwell,S2H_ABS,3,7,"(2,1)",501.689960,70.494593,0,0,14.326901,32.191689,"(0.555237,0.797497),(0.608007,0.771403),(0.649897,0.735151),(0.685687,0.712430),(0.712630,0.705569),(0.604931,0.621369),(0.616242,0.549406),(0.629839,0.508001),(0.644832,0.473807),(0.577254,0.615880),(0.582286,0.536291),(0.596593,0.485502),(0.614206,0.448342),(0.551781,0.627992),(0.547072,0.551390),(0.555877,0.503398),(0.570021,0.468978),(0.528752,0.655172),(0.506572,0.601260),(0.498696,0.564728),(0.497563,0.530967)","(0.555237,0.797497),(0.608007,0.771403),(0.649897,0.735151),(0.685687,0.712430),(0.712630,0.705569),(0.604931,0.621369),(0.616242,0.549406),(0.629839,0.508001),(0.644832,0.473807),(0.577254,0.615880),(0.582286,0.536291),(0.596593,0.485502),(0.614206,0.448342),(0.551781,0.627992),(0.547072,0.551390),(0.555877,0.503398),(0.570021,0.468978),(0.528752,0.655172),(0.506572,0.601260),(0.498696,0.564728),(0.497563,0.530967)"
