trial_id,selection,technique,no_of_grids,target_no,target_location,time_taken_ms,distance_traveled_px,no_of_attempts,no_of_visited_cells,tot_dist_travelled_left_palm,tot_dist_travelled_right_palm,landmarks_left,landmarks_right
118,dwell,S2H_ABS,3,8,"(1,2)",48.406672,0.000000,0,0,0.000000,0.000000,"(0.549349,0.782689),(0.601294,0.759031),(0.645822,0.726586),(0.683680,0.707100),(0.716251,0.705068),(0.616684,0.627292),(0.628542,0.561403),(0.638897,0.521135),(0.651592,0.487386),(0.586393,0.620057),(0.593425,0.551979),(0.604505,0.510752),(0.620312,0.481955),(0.556752,0.628709),(0.555602,0.563554),(0.563585,0.525190),(0.578889,0.498953),(0.528775,0.651919),(0.507932,0.609606),(0.497982,0.579881),(0.494932,0.550837)","(0.549349,0.782689),(0.601294,0.759031),(0.645822,0.726586),(0.683680,0.707100),(0.716251,0.705068),(0.616684,0.627292),(0.628542,0.561403),(0.638897,0.521135),(0.651592,0.487386),(0.586393,0.620057),(0.593425,0.551979),(0.604505,0.510752),(0.620312,0.481955),(0.556752,0.628709),(0.555602,0.563554),(0.563585,0.525190),(0.578889,0.498953),(0.528775,0.651919),(0.507932,0.609606),(0.497982,0.579881),(0.494932,0.550837)"
118,dwell,S2H_ABS,3,8,"(1,2)",97.412045,5.099020,0,0,1.000000,1.414214,"(0.550256,0.781734),(0.601832,0.758684),(0.646305,0.725827),(0.684036,0.706854),(0.716734,0.705952),(0.617043,0.627265),(0.628644,0.561652),(0.638894,0.521630),(0.651627,0.488173),(0.586742,0.619944),(0.593400,0.551946),(0.604244,0.510590),(0.619946,0.481139),(0.557223,0.628768),(0.555920,0.564046),(0.563750,0.525703),(0.579022,0.498880),(0.529474,0.652261),(0.508984,0.610232),(0.499180,0.580466),(0.496163,0.550809)","(0.550256,0.781734),(0.601832,0.758684),(0.646305,0.725827),(0.684036,0.706854),(0.716734,0.705952),(0.617043,0.627265),(0.628644,0.561652),(0.638894,0.521630),(0.651627,0.488173),(0.586742,0.619944),(0.593400,0.551946),(0.604244,0.510590),(0.619946,0.481139),(0.557223,0.628768),(0.555920,0.564046),(0.563750,0.525703),(0.579022,0.498880),(0.529474,0.652261),(0.508984,0.610232),(0.499180,0.580466),(0.496163,0.550809)"
118,dwell,S2H_ABS,3,8,"(1,2)",150.866655,7.335087,0,0,1.000000,2.414214,"(0.551264,0.781542),(0.602482,0.759024),(0.646775,0.726261),(0.684191,0.706920),(0.716490,0.705309),(0.617542,0.627164),(0.628952,0.561843),(0.639018,0.522056),(0.651549,0.488943),(0.587296,0.619567),(0.593814,0.551620),(0.604506,0.510328),(0.620058,0.481317),(0.557807,0.627909),(0.556588,0.563243),(0.564334,0.524929),(0.579687,0.498340),(0.529880,0.650897),(0.509702,0.608801),(0.500139,0.579320),(0.497316,0.550345)","(0.551264,0.781542),(0.602482,0.759024),(0.646775,0.726261),(0.684191,0.706920),(0.716490,0.705309),(0.617542,0.627164),(0.628952,0.561843),(0.639018,0.522056),(0.651549,0.488943),(0.587296,0.619567),(0.593814,0.551620),(0.604506,0.510328),(0.620058,0.481317),(0.557807,0.627909),(0.556588,0.563243),(0.564334,0.524929),(0.579687,0.498340),(0.529880,0.650897),(0.509702,0.608801),(0.500139,0.579320),(0.497316,0.550345)"
118,dwell,S2H_ABS,3,8,"(1,2)",199.564078,13.335087,0,0,1.000000,4.414214,"(0.551430,0.781621),(0.602941,0.759211),(0.647386,0.726536),(0.684847,0.707207),(0.716692,0.704876),(0.618123,0.627166),(0.629362,0.561791),(0.639534,0.521673),(0.651856,0.488355),(0.587935,0.619529),(0.594595,0.551392),(0.605396,0.509636),(0.620820,0.480381),(0.558389,0.627795),(0.557150,0.562637),(0.564931,0.523918),(0.580270,0.497409),(0.530359,0.650618),(0.509851,0.607788),(0.500222,0.578253),(0.497346,0.549880)","(0.551430,0.781621),(0.602941,0.759211),(0.647386,0.726536),(0.684847,0.707207),(0.716692,0.704876),(0.618123,0.627166),(0.629362,0.561791),(0.639534,0.521673),(0.651856,0.488355),(0.587935,0.619529),(0.594595,0.551392),(0.605396,0.509636),(0.620820,0.480381),(0.558389,0.627795),(0.557150,0.562637),(0.564931,0.523918),(0.580270,0.497409),(0.530359,0.650618),(0.509851,0.607788),(0.500222,0.578253),(0.497346,0.549880)"
118,dwell,S2H_ABS,3,8,"(1,2)",250.720112,21.335087,0,0,2.414214,6.414214,"(0.551957,0.781024),(0.603590,0.758646),(0.647980,0.727100),(0.685636,0.707945),(0.717642,0.704528),(0.617989,0.627437),(0.629721,0.562112),(0.640387,0.522206),(0.653227,0.489364),(0.588019,0.619644),(0.594509,0.551369),(0.605250,0.509350),(0.620739,0.480515),(0.558635,0.627802),(0.557018,0.562407),(0.564649,0.523202),(0.579808,0.496932),(0.530782,0.650543),(0.509910,0.607319),(0.500306,0.577477),(0.497517,0.549526)","(0.551957,0.781024),(0.603590,0.758646),(0.647980,0.727100),(0.685636,0.707945),(0.717642,0.704528),(0.617989,0.627437),(0.629721,0.562112),(0.640387,0.522206),(0.653227,0.489364),(0.588019,0.619644),(0.594509,0.551369),(0.605250,0.509350),(0.620739,0.480515),(0.558635,0.627802),(0.557018,0.562407),(0.564649,0.523202),(0.579808,0.496932),(0.530782,0.650543),(0.509910,0.607319),(0.500306,0.577477),(0.497517,0.549526)"
118,dwell,S2H_ABS,3,8,"(1,2)",299.906380,27.166039,0,0,3.414214,7.414214,"(0.552530,0.781308),(0.603883,0.757703),(0.647402,0.726167),(0.684734,0.706899),(0.717307,0.703833),(0.617058,0.626279),(0.628865,0.561205),(0.639620,0.521612),(0.652830,0.488883),(0.587157,0.618634),(0.593483,0.550603),(0.604314,0.508604),(0.620276,0.479953),(0.557995,0.627284),(0.556130,0.562098),(0.563585,0.522908),(0.578622,0.496806),(0.530438,0.650629),(0.509639,0.607540),(0.500274,0.577447),(0.497755,0.549241)","(0.552530,0.781308),(0.603883,0.757703),(0.647402,0.726167),(0.684734,0.706899),(0.717307,0.703833),(0.617058,0.626279),(0.628865,0.561205),(0.639620,0.521612),(0.652830,0.488883),(0.587157,0.618634),(0.593483,0.550603),(0.604314,0.508604),(0.620276,0.479953),(0.557995,0.627284),(0.556130,0.562098),(0.563585,0.522908),(0.578622,0.496806),(0.530438,0.650629),(0.509639,0.607540),(0.500274,0.577447),(0.497755,0.549241)"
118,dwell,S2H_ABS,3,8,"(1,2)",350.904761,29.402107,0,0,4.414214,11.656854,"(0.552504,0.780562),(0.603233,0.756910),(0.646474,0.725216),(0.683526,0.705946),(0.715658,0.702221),(0.615023,0.625187),(0.627043,0.560048),(0.637867,0.520124),(0.651125,0.486889),(0.585163,0.617325),(0.591629,0.549536),(0.602686,0.507198),(0.618763,0.478288),(0.556346,0.625823),(0.554555,0.560284),(0.562449,0.520887),(0.577783,0.494990),(0.529181,0.648880),(0.508282,0.605625),(0.498948,0.575265),(0.496374,0.547128)","(0.552504,0.780562),(0.603233,0.756910),(0.646474,0.725216),(0.683526,0.705946),(0.715658,0.702221),(0.615023,0.625187),(0.627043,0.560048),(0.637867,0.520124),(0.651125,0.486889),(0.585163,0.617325),(0.591629,0.549536),(0.602686,0.507198),(0.618763,0.478288),(0.556346,0.625823),(0.554555,0.560284),(0.562449,0.520887),(0.577783,0.494990),(0.529181,0.648880),(0.508282,0.605625),(0.498948,0.575265),(0.496374,0.547128)"
118,dwell,S2H_ABS,3,8,"(1,2)",401.006447,39.842414,0,0,5.414214,18.365058,"(0.551194,0.780337),(0.601849,0.755842),(0.645462,0.723587),(0.682969,0.704457),(0.714666,0.700881),(0.613725,0.623758),(0.625156,0.558575),(0.635793,0.518967),(0.649294,0.485979),(0.583635,0.615886),(0.589914,0.548448),(0.601130,0.506318),(0.617581,0.476919),(0.554811,0.624750),(0.552556,0.559176),(0.560526,0.520119),(0.576020,0.493675),(0.527687,0.648387),(0.506590,0.605526),(0.496927,0.575486),(0.494050,0.547056)","(0.551194,0.780337),(0.601849,0.755842),(0.645462,0.723587),(0.682969,0.704457),(0.714666,0.700881),(0.613725,0.623758),(0.625156,0.558575),(0.635793,0.518967),(0.649294,0.485979),(0.583635,0.615886),(0.589914,0.548448),(0.601130,0.506318),(0.617581,0.476919),(0.554811,0.624750),(0.552556,0.559176),(0.560526,0.520119),(0.576020,0.493675),(0.527687,0.648387),(0.506590,0.605526),(0.496927,0.575486),(0.494050,0.547056)"
118,dwell,S2H_ABS,3,8,"(1,2)",449.928458,49.892289,0,0,6.828427,27.851891,"(0.547914,0.781612),(0.599607,0.756144),(0.643669,0.722872),(0.681002,0.702611),(0.712147,0.698131),(0.611151,0.623570),(0.622443,0.558208),(0.633466,0.519130),(0.647250,0.486766),(0.581109,0.615502),(0.587406,0.547901),(0.598615,0.505810),(0.614911,0.476280),(0.552279,0.624123),(0.550434,0.558408),(0.558347,0.519697),(0.573247,0.493360),(0.524914,0.647364),(0.504063,0.604394),(0.494246,0.574441),(0.490938,0.546149)","(0.547914,0.781612),(0.599607,0.756144),(0.643669,0.722872),(0.681002,0.702611),(0.712147,0.698131),(0.611151,0.623570),(0.622443,0.558208),(0.633466,0.519130),(0.647250,0.486766),(0.581109,0.615502),(0.587406,0.547901),(0.598615,0.505810),(0.614911,0.476280),(0.552279,0.624123),(0.550434,0.558408),(0.558347,0.519697),(0.573247,0.493360),(0.524914,0.647364),(0.504063,0.604394),(0.494246,0.574441),(0.490938,0.546149)"
118,dwell,S2H_ABS,3,8,"(1,2)",500.762662,61.072629,0,0,9.828427,40.501002,"(0.543897,0.782967),(0.596177,0.756155),(0.640622,0.722471),(0.677986,0.701729),(0.708808,0.697708),(0.607650,0.623930),(0.620700,0.558380),(0.632279,0.519425),(0.646244,0.487264),(0.577266,0.615326),(0.584322,0.547494),(0.595426,0.504890),(0.611184,0.475066),(0.548122,0.623431),(0.546806,0.557432),(0.554622,0.518488),(0.569049,0.492090),(0.520469,0.646255),(0.500082,0.603187),(0.490425,0.573106),(0.487084,0.544884)","(0.543897,0.782967),(0.596177,0.756155),(0.640622,0.722471),(0.677986,0.701729),(0.708808,0.697708),(0.607650,0.623930),(0.620700,0.558380),(0.632279,0.519425),(0.646244,0.487264),(0.577266,0.615326),(0.584322,0.547494),(0.595426,0.504890),(0.611184,0.475066),(0.548122,0.623431),(0.546806,0.557432),(0.554622,0.518488),(0.569049,0.492090),(0.520469,0.646255),(0.500082,0.603187),(0.490425,0.573106),(0.487084,0.544884)"
118,dwell,S2H_ABS,3,8,"(1,2)",548.263407,68.688402,0,0,11.828427,54.102472,"(0.539704,0.783586),(0.591445,0.756783),(0.635533,0.722940),(0.673063,0.702203),(0.705154,0.699756),(0.602602,0.623180),(0.616060,0.558158),(0.627861,0.519705),(0.641976,0.487885),(0.572458,0.614673),(0.579583,0.546914),(0.590773,0.504903),(0.606224,0.475181),(0.543459,0.622911),(0.541765,0.556903),(0.549389,0.517836),(0.563236,0.490600),(0.515959,0.646021),(0.495427,0.603117),(0.485851,0.573210),(0.482131,0.544609)","(0.539704,0.783586),(0.591445,0.756783),(0.635533,0.722940),(0.673063,0.702203),(0.705154,0.699756),(0.602602,0.623180),(0.616060,0.558158),(0.627861,0.519705),(0.641976,0.487885),(0.572458,0.614673),(0.579583,0.546914),(0.590773,0.504903),(0.606224,0.475181),(0.543459,0.622911),(0.541765,0.556903),(0.549389,0.517836),(0.563236,0.490600),(0.515959,0.646021),(0.495427,0.603117),(0.485851,0.573210),(0.482131,0.544609)"
118,dwell,S2H_ABS,3,8,"(1,2)",600.604277,97.131328,0,0,15.828427,65.504227,"(0.533834,0.783232),(0.587077,0.758128),(0.631307,0.724502),(0.667970,0.702108),(0.699501,0.697204),(0.601807,0.625445),(0.617793,0.559912),(0.629382,0.521514),(0.642408,0.488530),(0.569666,0.616347),(0.578704,0.548385),(0.589392,0.507540),(0.603762,0.478534),(0.539004,0.624013),(0.538024,0.557564),(0.545338,0.519088),(0.558496,0.491109),(0.509925,0.646014),(0.490242,0.601610),(0.480576,0.571853),(0.476525,0.542632)","(0.533834,0.783232),(0.587077,0.758128),(0.631307,0.724502),(0.667970,0.702108),(0.699501,0.697204),(0.601807,0.625445),(0.617793,0.559912),(0.629382,0.521514),(0.642408,0.488530),(0.569666,0.616347),(0.578704,0.548385),(0.589392,0.507540),(0.603762,0.478534),(0.539004,0.624013),(0.538024,0.557564),(0.545338,0.519088),(0.558496,0.491109),(0.509925,0.646014),(0.490242,0.601610),(0.480576,0.571853),(0.476525,0.542632)"
