trial_id,selection,technique,no_of_grids,target_no,target_location,time_taken_ms,distance_traveled_px,no_of_attempts,no_of_visited_cells,tot_dist_travelled_left_palm,tot_dist_travelled_right_palm,landmarks_left,landmarks_right
16,dwell,S2H_ABS,5,3,"(4,1)",51.945901,0.000000,0,0,0.000000,0.000000,"(0.601048,0.772369),(0.656261,0.754060),(0.700628,0.713263),(0.738712,0.689173),(0.769255,0.691791),(0.656195,0.588688),(0.672353,0.517819),(0.689117,0.475285),(0.706822,0.438778),(0.628342,0.576850),(0.641984,0.497242),(0.662491,0.447788),(0.684526,0.410599),(0.602078,0.583056),(0.603125,0.503491),(0.616586,0.453210),(0.633877,0.414020),(0.577310,0.606259),(0.559741,0.547350),(0.554221,0.508641),(0.554057,0.470592)","(0.601048,0.772369),(0.656261,0.754060),(0.700628,0.713263),(0.738712,0.689173),(0.769255,0.691791),(0.656195,0.588688),(0.672353,0.517819),(0.689117,0.475285),(0.706822,0.438778),(0.628342,0.576850),(0.641984,0.497242),(0.662491,0.447788),(0.684526,0.410599),(0.602078,0.583056),(0.603125,0.503491),(0.616586,0.453210),(0.633877,0.414020),(0.577310,0.606259),(0.559741,0.547350),(0.554221,0.508641),(0.554057,0.470592)"
16,dwell,S2H_ABS,5,3,"(4,1)",98.190523,9.486833,0,0,1.000000,2.236068,"(0.600187,0.773498),(0.655804,0.754586),(0.700629,0.713030),(0.738766,0.688960),(0.769796,0.692036),(0.656202,0.589520),(0.672295,0.518455),(0.688984,0.475782),(0.706817,0.439018),(0.628178,0.577815),(0.641802,0.498098),(0.662089,0.448273),(0.684071,0.410417),(0.601775,0.584172),(0.602753,0.504610),(0.615841,0.454141),(0.632797,0.414504),(0.576852,0.607429),(0.559571,0.548424),(0.554005,0.509588),(0.553632,0.471309)","(0.600187,0.773498),(0.655804,0.754586),(0.700629,0.713030),(0.738766,0.688960),(0.769796,0.692036),(0.656202,0.589520),(0.672295,0.518455),(0.688984,0.475782),(0.706817,0.439018),(0.628178,0.577815),(0.641802,0.498098),(0.662089,0.448273),(0.684071,0.410417),(0.601775,0.584172),(0.602753,0.504610),(0.615841,0.454141),(0.632797,0.414504),(0.576852,0.607429),(0.559571,0.548424),(0.554005,0.509588),(0.553632,0.471309)"
16,dwell,S2H_ABS,5,3,"(4,1)",148.428581,12.315260,0,0,2.000000,3.650282,"(0.598956,0.773767),(0.654749,0.754734),(0.699588,0.713267),(0.737984,0.689558),(0.768825,0.693308),(0.655648,0.590212),(0.672041,0.519038),(0.688592,0.476450),(0.706261,0.439647),(0.627686,0.578374),(0.641794,0.498609),(0.661784,0.448908),(0.683661,0.410994),(0.601088,0.584560),(0.602530,0.505007),(0.615514,0.454533),(0.632546,0.414934),(0.575779,0.607631),(0.558600,0.548280),(0.552983,0.509195),(0.552719,0.470941)","(0.598956,0.773767),(0.654749,0.754734),(0.699588,0.713267),(0.737984,0.689558),(0.768825,0.693308),(0.655648,0.590212),(0.672041,0.519038),(0.688592,0.476450),(0.706261,0.439647),(0.627686,0.578374),(0.641794,0.498609),(0.661784,0.448908),(0.683661,0.410994),(0.601088,0.584560),(0.602530,0.505007),(0.615514,0.454533),(0.632546,0.414934),(0.575779,0.607631),(0.558600,0.548280),(0.552983,0.509195),(0.552719,0.470941)"
16,dwell,S2H_ABS,5,3,"(4,1)",196.827140,17.700425,0,0,3.000000,5.650282,"(0.597369,0.773860),(0.653313,0.754927),(0.697768,0.713129),(0.736025,0.688518),(0.767064,0.691454),(0.654804,0.590774),(0.671059,0.519339),(0.687196,0.476387),(0.704270,0.439240),(0.626722,0.578501),(0.640672,0.498807),(0.660343,0.449146),(0.682005,0.411404),(0.599875,0.584121),(0.601638,0.504636),(0.614342,0.454345),(0.631288,0.414863),(0.574147,0.606796),(0.556841,0.547670),(0.550795,0.508931),(0.550209,0.471063)","(0.597369,0.773860),(0.653313,0.754927),(0.697768,0.713129),(0.736025,0.688518),(0.767064,0.691454),(0.654804,0.590774),(0.671059,0.519339),(0.687196,0.476387),(0.704270,0.439240),(0.626722,0.578501),(0.640672,0.498807),(0.660343,0.449146),(0.682005,0.411404),(0.599875,0.584121),(0.601638,0.504636),(0.614342,0.454345),(0.631288,0.414863),(0.574147,0.606796),(0.556841,0.547670),(0.550795,0.508931),(0.550209,0.471063)"
16,dwell,S2H_ABS,5,3,"(4,1)",256.763353,26.919969,0,0,4.000000,8.650282,"(0.595837,0.773335),(0.651954,0.755213),(0.695972,0.713700),(0.733496,0.687963),(0.764227,0.689263),(0.652933,0.589904),(0.669155,0.518551),(0.685332,0.475967),(0.702433,0.439429),(0.624815,0.577232),(0.639118,0.497971),(0.659017,0.448448),(0.681045,0.411073),(0.597960,0.582605),(0.599648,0.503239),(0.612435,0.452914),(0.629517,0.413974),(0.572022,0.605250),(0.554385,0.545914),(0.548043,0.507084),(0.547299,0.469651)","(0.595837,0.773335),(0.651954,0.755213),(0.695972,0.713700),(0.733496,0.687963),(0.764227,0.689263),(0.652933,0.589904),(0.669155,0.518551),(0.685332,0.475967),(0.702433,0.439429),(0.624815,0.577232),(0.639118,0.497971),(0.659017,0.448448),(0.681045,0.411073),(0.597960,0.582605),(0.599648,0.503239),(0.612435,0.452914),(0.629517,0.413974),(0.572022,0.605250),(0.554385,0.545914),(0.548043,0.507084),(0.547299,0.469651)"
16,dwell,S2H_ABS,5,3,"(4,1)",300.561888,36.919969,0,0,5.414214,10.886350,"(0.593611,0.772302),(0.650194,0.753642),(0.694053,0.711816),(0.731559,0.686631),(0.762425,0.689053),(0.651044,0.587864),(0.667139,0.516358),(0.683271,0.474412),(0.700361,0.438787),(0.622808,0.575749),(0.636966,0.496544),(0.656651,0.447100),(0.678579,0.409992),(0.595959,0.581591),(0.597159,0.502438),(0.609835,0.452046),(0.626766,0.413349),(0.570125,0.604790),(0.552195,0.545618),(0.545632,0.506547),(0.544649,0.469143)","(0.593611,0.772302),(0.650194,0.753642),(0.694053,0.711816),(0.731559,0.686631),(0.762425,0.689053),(0.651044,0.587864),(0.667139,0.516358),(0.683271,0.474412),(0.700361,0.438787),(0.622808,0.575749),(0.636966,0.496544),(0.656651,0.447100),(0.678579,0.409992),(0.595959,0.581591),(0.597159,0.502438),(0.609835,0.452046),(0.626766,0.413349),(0.570125,0.604790),(0.552195,0.545618),(0.545632,0.506547),(0.544649,0.469143)"
16,dwell,S2H_ABS,5,3,"(4,1)",350.271470,45.166181,0,0,7.414214,13.886350,"(0.589613,0.771070),(0.647316,0.752143),(0.691253,0.710337),(0.729217,0.685050),(0.759560,0.686481),(0.648193,0.586673),(0.664255,0.515182),(0.680353,0.473480),(0.696959,0.438326),(0.620257,0.574377),(0.634694,0.495327),(0.654453,0.445820),(0.676290,0.408375),(0.593521,0.579982),(0.594218,0.500469),(0.606767,0.450268),(0.623371,0.411698),(0.567830,0.603259),(0.548665,0.544388),(0.541291,0.505040),(0.539552,0.467548)","(0.589613,0.771070),(0.647316,0.752143),(0.691253,0.710337),(0.729217,0.685050),(0.759560,0.686481),(0.648193,0.586673),(0.664255,0.515182),(0.680353,0.473480),(0.696959,0.438326),(0.620257,0.574377),(0.634694,0.495327),(0.654453,0.445820),(0.676290,0.408375),(0.593521,0.579982),(0.594218,0.500469),(0.606767,0.450268),(0.623371,0.411698),(0.567830,0.603259),(0.548665,0.544388),(0.541291,0.505040),(0.539552,0.467548)"
16,dwell,S2H_ABS,5,3,"(4,1)",400.100532,55.166181,0,0,9.650282,18.985369,"(0.587643,0.770073),(0.646066,0.749336),(0.689352,0.705304),(0.726362,0.677667),(0.756351,0.676508),(0.644650,0.583956),(0.660043,0.511578),(0.676385,0.469462),(0.693290,0.434656),(0.616891,0.572017),(0.629703,0.492764),(0.649030,0.442647),(0.670744,0.404513),(0.590261,0.577970),(0.589865,0.498255),(0.602059,0.447683),(0.618167,0.408615),(0.564769,0.601594),(0.544476,0.542503),(0.536268,0.502281),(0.533562,0.463966)","(0.587643,0.770073),(0.646066,0.749336),(0.689352,0.705304),(0.726362,0.677667),(0.756351,0.676508),(0.644650,0.583956),(0.660043,0.511578),(0.676385,0.469462),(0.693290,0.434656),(0.616891,0.572017),(0.629703,0.492764),(0.649030,0.442647),(0.670744,0.404513),(0.590261,0.577970),(0.589865,0.498255),(0.602059,0.447683),(0.618167,0.408615),(0.564769,0.601594),(0.544476,0.542503),(0.536268,0.502281),(0.533562,0.463966)"
16,dwell,S2H_ABS,5,3,"(4,1)",450.175819,65.216056,0,0,10.650282,24.985369,"(0.587571,0.767052),(0.645408,0.745094),(0.687065,0.699370),(0.723149,0.669703),(0.753341,0.668008),(0.640232,0.579360),(0.655032,0.505042),(0.671375,0.461930),(0.688387,0.426204),(0.612583,0.567406),(0.623949,0.486961),(0.642831,0.436171),(0.664530,0.396549),(0.586070,0.573237),(0.585008,0.492864),(0.597360,0.442051),(0.613690,0.402180),(0.560694,0.596194),(0.539403,0.536249),(0.530981,0.495181),(0.528133,0.456095)","(0.587571,0.767052),(0.645408,0.745094),(0.687065,0.699370),(0.723149,0.669703),(0.753341,0.668008),(0.640232,0.579360),(0.655032,0.505042),(0.671375,0.461930),(0.688387,0.426204),(0.612583,0.567406),(0.623949,0.486961),(0.642831,0.436171),(0.664530,0.396549),(0.586070,0.573237),(0.585008,0.492864),(0.597360,0.442051),(0.613690,0.402180),(0.560694,0.596194),(0.539403,0.536249),(0.530981,0.495181),(0.528133,0.456095)"
16,dwell,S2H_ABS,5,3,"(4,1)",496.502488,75.265932,0,0,12.886350,31.693573,"(0.585565,0.761545),(0.643662,0.737915),(0.682817,0.691243),(0.717198,0.660232),(0.748270,0.658592),(0.637932,0.572080),(0.653121,0.498600),(0.670673,0.456664),(0.688777,0.422158),(0.610688,0.559632),(0.621963,0.478589),(0.641403,0.427866),(0.663839,0.387350),(0.583999,0.565367),(0.583930,0.484021),(0.597254,0.432633),(0.614341,0.390830),(0.557785,0.588724),(0.535426,0.527287),(0.526325,0.485242),(0.523074,0.444238)","(0.585565,0.761545),(0.643662,0.737915),(0.682817,0.691243),(0.717198,0.660232),(0.748270,0.658592),(0.637932,0.572080),(0.653121,0.498600),(0.670673,0.456664),(0.688777,0.422158),(0.610688,0.559632),(0.621963,0.478589),(0.641403,0.427866),(0.663839,0.387350),(0.583999,0.565367),(0.583930,0.484021),(0.597254,0.432633),(0.614341,0.390830),(0.557785,0.588724),(0.535426,0.527287),(0.526325,0.485242),(0.523074,0.444238)"
