trial_id,selection,technique,no_of_grids,target_no,target_location,time_taken_ms,distance_traveled_px,no_of_attempts,no_of_visited_cells,tot_dist_travelled_left_palm,tot_dist_travelled_right_palm,landmarks_left,landmarks_right
47,dwell,S2H_ABS,3,5,"(0,2)",43.434435,0.000000,0,0,0.000000,0.000000,"(0.273867,0.645532),(0.317335,0.623706),(0.358473,0.589621),(0.392287,0.567087),(0.421768,0.570247),(0.320570,0.499627),(0.328233,0.445814),(0.332312,0.411710),(0.336079,0.380941),(0.291645,0.491371),(0.291806,0.431440),(0.293714,0.396376),(0.297219,0.368188),(0.264902,0.497754),(0.259234,0.440981),(0.259438,0.407708),(0.262802,0.379371),(0.238838,0.516994),(0.216197,0.479484),(0.202272,0.455405),(0.192144,0.428729)","(0.273867,0.645532),(0.317335,0.623706),(0.358473,0.589621),(0.392287,0.567087),(0.421768,0.570247),(0.320570,0.499627),(0.328233,0.445814),(0.332312,0.411710),(0.336079,0.380941),(0.291645,0.491371),(0.291806,0.431440),(0.293714,0.396376),(0.297219,0.368188),(0.264902,0.497754),(0.259234,0.440981),(0.259438,0.407708),(0.262802,0.379371),(0.238838,0.516994),(0.216197,0.479484),(0.202272,0.455405),(0.192144,0.428729)"
47,dwell,S2H_ABS,3,5,"(0,2)",83.442308,5.099020,0,0,0.000000,2.000000,"(0.274332,0.645736),(0.317553,0.623833),(0.358470,0.589970),(0.392144,0.567764),(0.421456,0.571098),(0.320528,0.499767),(0.328072,0.446060),(0.332219,0.412150),(0.336017,0.381606),(0.291735,0.491641),(0.292067,0.431796),(0.294158,0.396896),(0.297742,0.368755),(0.265071,0.498081),(0.259319,0.441268),(0.259559,0.408044),(0.262869,0.379622),(0.239016,0.517430),(0.216490,0.479701),(0.202794,0.455584),(0.192833,0.428792)","(0.274332,0.645736),(0.317553,0.623833),(0.358470,0.589970),(0.392144,0.567764),(0.421456,0.571098),(0.320528,0.499767),(0.328072,0.446060),(0.332219,0.412150),(0.336017,0.381606),(0.291735,0.491641),(0.292067,0.431796),(0.294158,0.396896),(0.297742,0.368755),(0.265071,0.498081),(0.259319,0.441268),(0.259559,0.408044),(0.262869,0.379622),(0.239016,0.517430),(0.216490,0.479701),(0.202794,0.455584),(0.192833,0.428792)"
47,dwell,S2H_ABS,3,5,"(0,2)",123.422589,8.099020,0,0,0.000000,4.000000,"(0.275095,0.645611),(0.318311,0.624304),(0.359362,0.590974),(0.392912,0.568732),(0.421776,0.571348),(0.321057,0.500264),(0.328797,0.446545),(0.333039,0.412392),(0.336701,0.381585),(0.292204,0.491846),(0.292497,0.432113),(0.294575,0.397014),(0.297968,0.368719),(0.265542,0.498104),(0.259690,0.441301),(0.259986,0.407928),(0.263253,0.379539),(0.239503,0.517416),(0.216863,0.479667),(0.203123,0.455368),(0.193077,0.428596)","(0.275095,0.645611),(0.318311,0.624304),(0.359362,0.590974),(0.392912,0.568732),(0.421776,0.571348),(0.321057,0.500264),(0.328797,0.446545),(0.333039,0.412392),(0.336701,0.381585),(0.292204,0.491846),(0.292497,0.432113),(0.294575,0.397014),(0.297968,0.368719),(0.265542,0.498104),(0.259690,0.441301),(0.259986,0.407928),(0.263253,0.379539),(0.239503,0.517416),(0.216863,0.479667),(0.203123,0.455368),(0.193077,0.428596)"
47,dwell,S2H_ABS,3,5,"(0,2)",167.435905,10.099020,0,0,1.000000,6.236068,"(0.275449,0.645481),(0.318833,0.624521),(0.360150,0.591124),(0.393909,0.568791),(0.423090,0.571864),(0.321639,0.500406),(0.329079,0.446812),(0.333305,0.412718),(0.337160,0.381926),(0.292799,0.491807),(0.292961,0.432117),(0.295001,0.397038),(0.298328,0.368511),(0.266191,0.497847),(0.260540,0.441203),(0.260919,0.407958),(0.264147,0.379602),(0.240168,0.516967),(0.217695,0.479021),(0.203998,0.454719),(0.193930,0.428007)","(0.275449,0.645481),(0.318833,0.624521),(0.360150,0.591124),(0.393909,0.568791),(0.423090,0.571864),(0.321639,0.500406),(0.329079,0.446812),(0.333305,0.412718),(0.337160,0.381926),(0.292799,0.491807),(0.292961,0.432117),(0.295001,0.397038),(0.298328,0.368511),(0.266191,0.497847),(0.260540,0.441203),(0.260919,0.407958),(0.264147,0.379602),(0.240168,0.516967),(0.217695,0.479021),(0.203998,0.454719),(0.193930,0.428007)"
47,dwell,S2H_ABS,3,5,"(0,2)",207.396699,14.222125,0,0,1.000000,8.236068,"(0.276014,0.645676),(0.319468,0.624487),(0.360702,0.590879),(0.394438,0.568410),(0.423859,0.571615),(0.322409,0.499932),(0.330120,0.446304),(0.334388,0.412325),(0.338333,0.381888),(0.293599,0.491335),(0.294051,0.431371),(0.296181,0.396364),(0.299741,0.368031),(0.266958,0.497407),(0.261492,0.440659),(0.261957,0.407445),(0.265487,0.379203),(0.240889,0.516498),(0.218405,0.478777),(0.204733,0.454558),(0.194835,0.427852)","(0.276014,0.645676),(0.319468,0.624487),(0.360702,0.590879),(0.394438,0.568410),(0.423859,0.571615),(0.322409,0.499932),(0.330120,0.446304),(0.334388,0.412325),(0.338333,0.381888),(0.293599,0.491335),(0.294051,0.431371),(0.296181,0.396364),(0.299741,0.368031),(0.266958,0.497407),(0.261492,0.440659),(0.261957,0.407445),(0.265487,0.379203),(0.240889,0.516498),(0.218405,0.478777),(0.204733,0.454558),(0.194835,0.427852)"
47,dwell,S2H_ABS,3,5,"(0,2)",251.330927,19.607290,0,0,2.000000,11.236068,"(0.276897,0.645523),(0.320572,0.624480),(0.361992,0.590650),(0.395555,0.567669),(0.424757,0.570297),(0.323940,0.500317),(0.331460,0.446479),(0.335599,0.412104),(0.339369,0.381185),(0.295076,0.491572),(0.295521,0.431339),(0.297790,0.396207),(0.301436,0.367636),(0.268352,0.497272),(0.263075,0.440288),(0.263489,0.406911),(0.266989,0.378461),(0.242161,0.515934),(0.219898,0.477924),(0.206314,0.453507),(0.196434,0.426710)","(0.276897,0.645523),(0.320572,0.624480),(0.361992,0.590650),(0.395555,0.567669),(0.424757,0.570297),(0.323940,0.500317),(0.331460,0.446479),(0.335599,0.412104),(0.339369,0.381185),(0.295076,0.491572),(0.295521,0.431339),(0.297790,0.396207),(0.301436,0.367636),(0.268352,0.497272),(0.263075,0.440288),(0.263489,0.406911),(0.266989,0.378461),(0.242161,0.515934),(0.219898,0.477924),(0.206314,0.453507),(0.196434,0.426710)"
47,dwell,S2H_ABS,3,5,"(0,2)",291.510703,25.438242,0,0,3.000000,14.064495,"(0.277974,0.646040),(0.321607,0.625072),(0.362997,0.590762),(0.396732,0.567445),(0.426135,0.569841),(0.325221,0.500257),(0.332941,0.446660),(0.337169,0.412402),(0.341141,0.381765),(0.296478,0.491425),(0.297161,0.431093),(0.299477,0.395936),(0.303274,0.367488),(0.269706,0.496955),(0.264608,0.440041),(0.265088,0.406863),(0.268781,0.378747),(0.243373,0.515412),(0.221191,0.477759),(0.207552,0.453415),(0.197671,0.426741)","(0.277974,0.646040),(0.321607,0.625072),(0.362997,0.590762),(0.396732,0.567445),(0.426135,0.569841),(0.325221,0.500257),(0.332941,0.446660),(0.337169,0.412402),(0.341141,0.381765),(0.296478,0.491425),(0.297161,0.431093),(0.299477,0.395936),(0.303274,0.367488),(0.269706,0.496955),(0.264608,0.440041),(0.265088,0.406863),(0.268781,0.378747),(0.243373,0.515412),(0.221191,0.477759),(0.207552,0.453415),(0.197671,0.426741)"
47,dwell,S2H_ABS,3,5,"(0,2)",331.407628,31.762797,0,0,4.000000,18.187601,"(0.279598,0.646774),(0.322808,0.625895),(0.364238,0.591246),(0.398028,0.567689),(0.427179,0.569800),(0.326666,0.500204),(0.334673,0.446801),(0.339041,0.412495),(0.342943,0.381624),(0.298097,0.491130),(0.298896,0.430845),(0.301352,0.395780),(0.305080,0.367209),(0.271413,0.496511),(0.266342,0.439665),(0.266914,0.406611),(0.270626,0.378494),(0.245071,0.514935),(0.222871,0.477445),(0.209154,0.453140),(0.199073,0.426291)","(0.279598,0.646774),(0.322808,0.625895),(0.364238,0.591246),(0.398028,0.567689),(0.427179,0.569800),(0.326666,0.500204),(0.334673,0.446801),(0.339041,0.412495),(0.342943,0.381624),(0.298097,0.491130),(0.298896,0.430845),(0.301352,0.395780),(0.305080,0.367209),(0.271413,0.496511),(0.266342,0.439665),(0.266914,0.406611),(0.270626,0.378494),(0.245071,0.514935),(0.222871,0.477445),(0.209154,0.453140),(0.199073,0.426291)"
47,dwell,S2H_ABS,3,5,"(0,2)",374.551794,39.825055,0,0,5.000000,23.187601,"(0.281874,0.647341),(0.324852,0.626072),(0.366323,0.592176),(0.400271,0.569373),(0.429427,0.571842),(0.328157,0.500971),(0.336259,0.447743),(0.340637,0.413507),(0.344553,0.382782),(0.299635,0.491893),(0.300292,0.431693),(0.302684,0.396351),(0.306285,0.367800),(0.273062,0.497516),(0.267754,0.440640),(0.268374,0.407432),(0.272114,0.379386),(0.246922,0.516256),(0.224535,0.478819),(0.210691,0.454344),(0.200576,0.427452)","(0.281874,0.647341),(0.324852,0.626072),(0.366323,0.592176),(0.400271,0.569373),(0.429427,0.571842),(0.328157,0.500971),(0.336259,0.447743),(0.340637,0.413507),(0.344553,0.382782),(0.299635,0.491893),(0.300292,0.431693),(0.302684,0.396351),(0.306285,0.367800),(0.273062,0.497516),(0.267754,0.440640),(0.268374,0.407432),(0.272114,0.379386),(0.246922,0.516256),(0.224535,0.478819),(0.210691,0.454344),(0.200576,0.427452)"
47,dwell,S2H_ABS,3,5,"(0,2)",413.698576,50.023094,0,0,7.236068,29.512156,"(0.284017,0.649233),(0.326800,0.627932),(0.368170,0.594875),(0.401757,0.572883),(0.430140,0.575986),(0.329531,0.503433),(0.337547,0.450365),(0.342024,0.415885),(0.346014,0.384877),(0.301031,0.494523),(0.301858,0.434326),(0.304404,0.398367),(0.307926,0.369811),(0.274598,0.500195),(0.269549,0.443181),(0.270280,0.409314),(0.273854,0.381058),(0.248781,0.518827),(0.226229,0.480944),(0.212229,0.456160),(0.202053,0.429391)","(0.284017,0.649233),(0.326800,0.627932),(0.368170,0.594875),(0.401757,0.572883),(0.430140,0.575986),(0.329531,0.503433),(0.337547,0.450365),(0.342024,0.415885),(0.346014,0.384877),(0.301031,0.494523),(0.301858,0.434326),(0.304404,0.398367),(0.307926,0.369811),(0.274598,0.500195),(0.269549,0.443181),(0.270280,0.409314),(0.273854,0.381058),(0.248781,0.518827),(0.226229,0.480944),(0.212229,0.456160),(0.202053,0.429391)"
47,dwell,S2H_ABS,3,5,"(0,2)",457.943431,64.889163,0,0,8.650282,37.574414,"(0.286328,0.653134),(0.328996,0.631705),(0.370118,0.599405),(0.403614,0.577853),(0.431697,0.581135),(0.330841,0.506853),(0.338917,0.453413),(0.343520,0.418743),(0.347421,0.387676),(0.302381,0.498088),(0.303022,0.437880),(0.305560,0.401591),(0.308846,0.373399),(0.276153,0.503956),(0.270878,0.446897),(0.271717,0.412576),(0.275157,0.384436),(0.250612,0.522756),(0.228042,0.484781),(0.213986,0.459672),(0.203777,0.432942)","(0.286328,0.653134),(0.328996,0.631705),(0.370118,0.599405),(0.403614,0.577853),(0.431697,0.581135),(0.330841,0.506853),(0.338917,0.453413),(0.343520,0.418743),(0.347421,0.387676),(0.302381,0.498088),(0.303022,0.437880),(0.305560,0.401591),(0.308846,0.373399),(0.276153,0.503956),(0.270878,0.446897),(0.271717,0.412576),(0.275157,0.384436),(0.250612,0.522756),(0.228042,0.484781),(0.213986,0.459672),(0.203777,0.432942)"
