trial_id,selection,technique,no_of_grids,target_no,target_location,time_taken_ms,distance_traveled_px,no_of_attempts,no_of_visited_cells,tot_dist_travelled_left_palm,tot_dist_travelled_right_palm,landmarks_left,landmarks_right
119,dwell,S2H_ABS,3,9,"(2,0)",49.687591,0.000000,1,0,0.000000,0.000000,"(0.392701,0.759849),(0.440448,0.736602),(0.486132,0.704622),(0.524258,0.687436),(0.556733,0.695790),(0.443132,0.600082),(0.451009,0.538725),(0.457076,0.500572),(0.463670,0.466620),(0.411905,0.591643),(0.414341,0.525219),(0.419112,0.485535),(0.425910,0.456009),(0.383272,0.598877),(0.378457,0.535866),(0.381342,0.498155),(0.387603,0.468021),(0.356214,0.620412),(0.332652,0.578544),(0.319109,0.552347),(0.310164,0.524631)","(0.392701,0.759849),(0.440448,0.736602),(0.486132,0.704622),(0.524258,0.687436),(0.556733,0.695790),(0.443132,0.600082),(0.451009,0.538725),(0.457076,0.500572),(0.463670,0.466620),(0.411905,0.591643),(0.414341,0.525219),(0.419112,0.485535),(0.425910,0.456009),(0.383272,0.598877),(0.378457,0.535866),(0.381342,0.498155),(0.387603,0.468021),(0.356214,0.620412),(0.332652,0.578544),(0.319109,0.552347),(0.310164,0.524631)"
119,dwell,S2H_ABS,3,9,"(2,0)",98.389347,6.324555,1,0,0.000000,2.000000,"(0.392840,0.758966),(0.440636,0.735865),(0.486246,0.704380),(0.524128,0.687553),(0.556025,0.696562),(0.443274,0.599636),(0.451194,0.538476),(0.457254,0.500261),(0.463697,0.466257),(0.412259,0.591227),(0.414601,0.524895),(0.419428,0.485261),(0.426234,0.455771),(0.383675,0.598391),(0.378814,0.535467),(0.381673,0.497966),(0.387907,0.468088),(0.356618,0.619904),(0.332625,0.578342),(0.318891,0.552180),(0.309880,0.524613)","(0.392840,0.758966),(0.440636,0.735865),(0.486246,0.704380),(0.524128,0.687553),(0.556025,0.696562),(0.443274,0.599636),(0.451194,0.538476),(0.457254,0.500261),(0.463697,0.466257),(0.412259,0.591227),(0.414601,0.524895),(0.419428,0.485261),(0.426234,0.455771),(0.383675,0.598391),(0.378814,0.535467),(0.381673,0.497966),(0.387907,0.468088),(0.356618,0.619904),(0.332625,0.578342),(0.318891,0.552180),(0.309880,0.524613)"
119,dwell,S2H_ABS,3,9,"(2,0)",153.722166,9.486833,2,0,0.000000,4.236068,"(0.392266,0.758137),(0.440166,0.735147),(0.485814,0.703813),(0.523772,0.686954),(0.555878,0.695853),(0.443295,0.599100),(0.451635,0.537878),(0.457813,0.499514),(0.464269,0.465201),(0.412260,0.590537),(0.414863,0.524229),(0.419606,0.484558),(0.426346,0.455035),(0.383615,0.597589),(0.378942,0.534678),(0.381793,0.497108),(0.388002,0.467106),(0.356398,0.619077),(0.332496,0.577316),(0.318851,0.551164),(0.309963,0.523590)","(0.392266,0.758137),(0.440166,0.735147),(0.485814,0.703813),(0.523772,0.686954),(0.555878,0.695853),(0.443295,0.599100),(0.451635,0.537878),(0.457813,0.499514),(0.464269,0.465201),(0.412260,0.590537),(0.414863,0.524229),(0.419606,0.484558),(0.426346,0.455035),(0.383615,0.597589),(0.378942,0.534678),(0.381793,0.497108),(0.388002,0.467106),(0.356398,0.619077),(0.332496,0.577316),(0.318851,0.551164),(0.309963,0.523590)"
119,dwell,S2H_ABS,3,9,"(2,0)",197.666940,13.729474,2,0,1.000000,6.236068,"(0.392971,0.756021),(0.440778,0.733431),(0.486346,0.702456),(0.524111,0.685991),(0.556307,0.695327),(0.443751,0.597610),(0.451988,0.536412),(0.458041,0.498202),(0.464295,0.464164),(0.412624,0.589048),(0.415138,0.522987),(0.419948,0.483558),(0.426746,0.454392),(0.383973,0.596132),(0.379084,0.533335),(0.381991,0.496037),(0.388202,0.466438),(0.356760,0.617768),(0.332912,0.575982),(0.319308,0.549731),(0.310438,0.522220)","(0.392971,0.756021),(0.440778,0.733431),(0.486346,0.702456),(0.524111,0.685991),(0.556307,0.695327),(0.443751,0.597610),(0.451988,0.536412),(0.458041,0.498202),(0.464295,0.464164),(0.412624,0.589048),(0.415138,0.522987),(0.419948,0.483558),(0.426746,0.454392),(0.383973,0.596132),(0.379084,0.533335),(0.381991,0.496037),(0.388202,0.466438),(0.356760,0.617768),(0.332912,0.575982),(0.319308,0.549731),(0.310438,0.522220)"
119,dwell,S2H_ABS,3,9,"(2,0)",251.154640,21.539723,2,0,2.414214,9.064495,"(0.394183,0.754530),(0.441713,0.732046),(0.486858,0.701048),(0.524195,0.684399),(0.556387,0.693219),(0.444391,0.595741),(0.452279,0.534635),(0.458357,0.496643),(0.464748,0.462513),(0.413228,0.587362),(0.415332,0.521420),(0.420110,0.482243),(0.426919,0.453018),(0.384646,0.594660),(0.379454,0.531958),(0.382392,0.494540),(0.388662,0.464557),(0.357560,0.616511),(0.333649,0.574753),(0.320043,0.548553),(0.311113,0.520955)","(0.394183,0.754530),(0.441713,0.732046),(0.486858,0.701048),(0.524195,0.684399),(0.556387,0.693219),(0.444391,0.595741),(0.452279,0.534635),(0.458357,0.496643),(0.464748,0.462513),(0.413228,0.587362),(0.415332,0.521420),(0.420110,0.482243),(0.426919,0.453018),(0.384646,0.594660),(0.379454,0.531958),(0.382392,0.494540),(0.388662,0.464557),(0.357560,0.616511),(0.333649,0.574753),(0.320043,0.548553),(0.311113,0.520955)"
119,dwell,S2H_ABS,3,9,"(2,0)",298.503113,30.973704,2,0,4.650282,11.892922,"(0.396227,0.750801),(0.443418,0.729181),(0.488451,0.698722),(0.525758,0.682370),(0.558247,0.689994),(0.445824,0.594531),(0.453371,0.533894),(0.459238,0.495875),(0.465454,0.461717),(0.414360,0.585858),(0.416202,0.520104),(0.420605,0.480840),(0.426948,0.451366),(0.385838,0.592953),(0.380507,0.530631),(0.383347,0.493131),(0.389419,0.463230),(0.358923,0.614650),(0.335242,0.572859),(0.321734,0.546447),(0.312827,0.518956)","(0.396227,0.750801),(0.443418,0.729181),(0.488451,0.698722),(0.525758,0.682370),(0.558247,0.689994),(0.445824,0.594531),(0.453371,0.533894),(0.459238,0.495875),(0.465454,0.461717),(0.414360,0.585858),(0.416202,0.520104),(0.420605,0.480840),(0.426948,0.451366),(0.385838,0.592953),(0.380507,0.530631),(0.383347,0.493131),(0.389419,0.463230),(0.358923,0.614650),(0.335242,0.572859),(0.321734,0.546447),(0.312827,0.518956)"
119,dwell,S2H_ABS,3,9,"(2,0)",346.173820,42.375459,2,0,6.886350,16.016028,"(0.397926,0.745779),(0.445553,0.725128),(0.490841,0.696481),(0.528478,0.680635),(0.561861,0.686965),(0.449471,0.592788),(0.457191,0.532092),(0.462969,0.493877),(0.469191,0.459155),(0.417843,0.583899),(0.420134,0.518666),(0.424550,0.479395),(0.430799,0.449300),(0.389059,0.590790),(0.383922,0.529397),(0.386779,0.492175),(0.393113,0.462214),(0.361789,0.612158),(0.338823,0.570082),(0.325801,0.543415),(0.317661,0.516024)","(0.397926,0.745779),(0.445553,0.725128),(0.490841,0.696481),(0.528478,0.680635),(0.561861,0.686965),(0.449471,0.592788),(0.457191,0.532092),(0.462969,0.493877),(0.469191,0.459155),(0.417843,0.583899),(0.420134,0.518666),(0.424550,0.479395),(0.430799,0.449300),(0.389059,0.590790),(0.383922,0.529397),(0.386779,0.492175),(0.393113,0.462214),(0.361789,0.612158),(0.338823,0.570082),(0.325801,0.543415),(0.317661,0.516024)"
119,dwell,S2H_ABS,3,9,"(2,0)",396.257642,52.375459,2,0,9.714777,20.139133,"(0.401722,0.742427),(0.449662,0.721490),(0.495301,0.693690),(0.533414,0.679024),(0.568341,0.685874),(0.456078,0.589683),(0.463293,0.527963),(0.469148,0.489760),(0.476093,0.455357),(0.423978,0.580487),(0.426711,0.514468),(0.431679,0.475682),(0.438633,0.445217),(0.394618,0.586948),(0.390098,0.525236),(0.393068,0.488531),(0.399911,0.458430),(0.366803,0.608002),(0.344671,0.565264),(0.332208,0.538202),(0.324739,0.510666)","(0.401722,0.742427),(0.449662,0.721490),(0.495301,0.693690),(0.533414,0.679024),(0.568341,0.685874),(0.456078,0.589683),(0.463293,0.527963),(0.469148,0.489760),(0.476093,0.455357),(0.423978,0.580487),(0.426711,0.514468),(0.431679,0.475682),(0.438633,0.445217),(0.394618,0.586948),(0.390098,0.525236),(0.393068,0.488531),(0.399911,0.458430),(0.366803,0.608002),(0.344671,0.565264),(0.332208,0.538202),(0.324739,0.510666)"
119,dwell,S2H_ABS,3,9,"(2,0)",445.104805,63.777213,2,0,13.320328,25.524298,"(0.406281,0.737341),(0.455218,0.716600),(0.501491,0.689535),(0.540425,0.675519),(0.577741,0.682963),(0.465415,0.585303),(0.471391,0.522779),(0.476883,0.484474),(0.484141,0.450405),(0.432860,0.575674),(0.435891,0.510021),(0.441258,0.472148),(0.449119,0.441978),(0.402670,0.581323),(0.398929,0.520374),(0.401996,0.484525),(0.409486,0.454222),(0.373892,0.601725),(0.353230,0.558172),(0.341849,0.530526),(0.335507,0.502071)","(0.406281,0.737341),(0.455218,0.716600),(0.501491,0.689535),(0.540425,0.675519),(0.577741,0.682963),(0.465415,0.585303),(0.471391,0.522779),(0.476883,0.484474),(0.484141,0.450405),(0.432860,0.575674),(0.435891,0.510021),(0.441258,0.472148),(0.449119,0.441978),(0.402670,0.581323),(0.398929,0.520374),(0.401996,0.484525),(0.409486,0.454222),(0.373892,0.601725),(0.353230,0.558172),(0.341849,0.530526),(0.335507,0.502071)"
119,dwell,S2H_ABS,3,9,"(2,0)",496.097289,73.264046,2,0,18.320328,31.927423,"(0.414705,0.729717),(0.464593,0.708074),(0.511146,0.682164),(0.550235,0.668802),(0.587429,0.676721),(0.475837,0.577845),(0.482566,0.516147),(0.489122,0.477437),(0.497597,0.443497),(0.443757,0.567713),(0.447818,0.502576),(0.454097,0.463960),(0.463049,0.433153),(0.413699,0.572539),(0.410957,0.512099),(0.414166,0.476398),(0.422289,0.446513),(0.384727,0.591874),(0.364958,0.547944),(0.354052,0.519768),(0.348300,0.491314)","(0.414705,0.729717),(0.464593,0.708074),(0.511146,0.682164),(0.550235,0.668802),(0.587429,0.676721),(0.475837,0.577845),(0.482566,0.516147),(0.489122,0.477437),(0.497597,0.443497),(0.443757,0.567713),(0.447818,0.502576),(0.454097,0.463960),(0.463049,0.433153),(0.413699,0.572539),(0.410957,0.512099),(0.414166,0.476398),(0.422289,0.446513),(0.384727,0.591874),(0.364958,0.547944),(0.354052,0.519768),(0.348300,0.491314)"
