trial_id,selection,technique,no_of_grids,target_no,target_location,time_taken_ms,distance_traveled_px,no_of_attempts,no_of_visited_cells,tot_dist_travelled_left_palm,tot_dist_travelled_right_palm,landmarks_left,landmarks_right
13,dwell,S2H_ABS,5,0,"(0,4)",49.262606,0.000000,1,0,0.000000,0.000000,"(0.331236,0.782073),(0.385068,0.751307),(0.433211,0.699182),(0.472445,0.660407),(0.504947,0.644356),(0.377366,0.588132),(0.393824,0.517791),(0.404122,0.475513),(0.414186,0.435949),(0.340721,0.578929),(0.341835,0.497904),(0.346336,0.450001),(0.352823,0.410283),(0.307774,0.588587),(0.298741,0.512137),(0.300268,0.465213),(0.305583,0.426975),(0.277302,0.615111),(0.247460,0.564969),(0.230579,0.530349),(0.218362,0.495261)","(0.331236,0.782073),(0.385068,0.751307),(0.433211,0.699182),(0.472445,0.660407),(0.504947,0.644356),(0.377366,0.588132),(0.393824,0.517791),(0.404122,0.475513),(0.414186,0.435949),(0.340721,0.578929),(0.341835,0.497904),(0.346336,0.450001),(0.352823,0.410283),(0.307774,0.588587),(0.298741,0.512137),(0.300268,0.465213),(0.305583,0.426975),(0.277302,0.615111),(0.247460,0.564969),(0.230579,0.530349),(0.218362,0.495261)"
13,dwell,S2H_ABS,5,0,"(0,4)",97.348025,6.000000,1,0,0.000000,2.000000,"(0.331747,0.781633),(0.385542,0.750912),(0.433656,0.698991),(0.472625,0.660242),(0.504990,0.644506),(0.377805,0.588328),(0.394423,0.518268),(0.404684,0.476196),(0.414661,0.436887),(0.341205,0.579023),(0.342642,0.497901),(0.347253,0.449843),(0.353585,0.409696),(0.308250,0.588642),(0.299268,0.512482),(0.300568,0.465705),(0.305574,0.427196),(0.277801,0.615103),(0.248358,0.565208),(0.231669,0.530888),(0.219543,0.495841)","(0.331747,0.781633),(0.385542,0.750912),(0.433656,0.698991),(0.472625,0.660242),(0.504990,0.644506),(0.377805,0.588328),(0.394423,0.518268),(0.404684,0.476196),(0.414661,0.436887),(0.341205,0.579023),(0.342642,0.497901),(0.347253,0.449843),(0.353585,0.409696),(0.308250,0.588642),(0.299268,0.512482),(0.300568,0.465705),(0.305574,0.427196),(0.277801,0.615103),(0.248358,0.565208),(0.231669,0.530888),(0.219543,0.495841)"
13,dwell,S2H_ABS,5,0,"(0,4)",149.795873,8.000000,1,0,0.000000,4.236068,"(0.332704,0.782140),(0.386685,0.751203),(0.434891,0.699176),(0.473736,0.660645),(0.505901,0.644275),(0.378909,0.588176),(0.395513,0.518242),(0.405663,0.476216),(0.415695,0.437431),(0.342237,0.578959),(0.343651,0.497722),(0.348131,0.449642),(0.354526,0.409832),(0.309247,0.588861),(0.300294,0.512657),(0.301659,0.465788),(0.306915,0.427284),(0.278789,0.615764),(0.249525,0.565897),(0.232944,0.531675),(0.221031,0.496816)","(0.332704,0.782140),(0.386685,0.751203),(0.434891,0.699176),(0.473736,0.660645),(0.505901,0.644275),(0.378909,0.588176),(0.395513,0.518242),(0.405663,0.476216),(0.415695,0.437431),(0.342237,0.578959),(0.343651,0.497722),(0.348131,0.449642),(0.354526,0.409832),(0.309247,0.588861),(0.300294,0.512657),(0.301659,0.465788),(0.306915,0.427284),(0.278789,0.615764),(0.249525,0.565897),(0.232944,0.531675),(0.221031,0.496816)"
13,dwell,S2H_ABS,5,0,"(0,4)",204.456635,13.000000,1,0,1.000000,5.650282,"(0.334287,0.782812),(0.388197,0.751580),(0.436222,0.699225),(0.474842,0.660462),(0.506628,0.644080),(0.379611,0.588794),(0.396174,0.518849),(0.406369,0.476611),(0.416265,0.437455),(0.343172,0.579719),(0.344493,0.498660),(0.349076,0.450558),(0.355488,0.410651),(0.310388,0.589547),(0.301392,0.513454),(0.302898,0.466630),(0.308258,0.428083),(0.280102,0.616207),(0.250540,0.566474),(0.233929,0.532252),(0.222026,0.497438)","(0.334287,0.782812),(0.388197,0.751580),(0.436222,0.699225),(0.474842,0.660462),(0.506628,0.644080),(0.379611,0.588794),(0.396174,0.518849),(0.406369,0.476611),(0.416265,0.437455),(0.343172,0.579719),(0.344493,0.498660),(0.349076,0.450558),(0.355488,0.410651),(0.310388,0.589547),(0.301392,0.513454),(0.302898,0.466630),(0.308258,0.428083),(0.280102,0.616207),(0.250540,0.566474),(0.233929,0.532252),(0.222026,0.497438)"
13,dwell,S2H_ABS,5,0,"(0,4)",254.139086,18.385165,1,0,2.000000,6.650282,"(0.335471,0.782897),(0.389591,0.751198),(0.437470,0.698998),(0.476442,0.660352),(0.508444,0.643934),(0.380590,0.589253),(0.397287,0.519448),(0.407775,0.477242),(0.417998,0.438090),(0.344270,0.580303),(0.345511,0.499105),(0.350080,0.450695),(0.356313,0.410571),(0.311598,0.590304),(0.302485,0.514171),(0.303743,0.467112),(0.308854,0.428338),(0.281455,0.617074),(0.252011,0.567169),(0.235561,0.532767),(0.223665,0.498004)","(0.335471,0.782897),(0.389591,0.751198),(0.437470,0.698998),(0.476442,0.660352),(0.508444,0.643934),(0.380590,0.589253),(0.397287,0.519448),(0.407775,0.477242),(0.417998,0.438090),(0.344270,0.580303),(0.345511,0.499105),(0.350080,0.450695),(0.356313,0.410571),(0.311598,0.590304),(0.302485,0.514171),(0.303743,0.467112),(0.308854,0.428338),(0.281455,0.617074),(0.252011,0.567169),(0.235561,0.532767),(0.223665,0.498004)"
13,dwell,S2H_ABS,5,0,"(0,4)",297.496765,26.385165,1,0,3.000000,10.255833,"(0.337297,0.782172),(0.391201,0.750689),(0.438968,0.698728),(0.478085,0.660075),(0.510694,0.643979),(0.381946,0.589689),(0.398763,0.519644),(0.409215,0.477359),(0.419419,0.437951),(0.345542,0.580578),(0.346992,0.499379),(0.351590,0.451007),(0.357834,0.410520),(0.312858,0.590376),(0.303939,0.514420),(0.305144,0.467246),(0.310177,0.428158),(0.282767,0.616949),(0.253355,0.567309),(0.236762,0.532996),(0.224738,0.498100)","(0.337297,0.782172),(0.391201,0.750689),(0.438968,0.698728),(0.478085,0.660075),(0.510694,0.643979),(0.381946,0.589689),(0.398763,0.519644),(0.409215,0.477359),(0.419419,0.437951),(0.345542,0.580578),(0.346992,0.499379),(0.351590,0.451007),(0.357834,0.410520),(0.312858,0.590376),(0.303939,0.514420),(0.305144,0.467246),(0.310177,0.428158),(0.282767,0.616949),(0.253355,0.567309),(0.236762,0.532996),(0.224738,0.498100)"
13,dwell,S2H_ABS,5,0,"(0,4)",347.737733,37.565505,1,0,4.000000,16.580388,"(0.339459,0.781538),(0.393554,0.750038),(0.441132,0.698432),(0.480364,0.660126),(0.513195,0.644309),(0.383899,0.589571),(0.400624,0.519633),(0.411136,0.477171),(0.421442,0.437672),(0.347674,0.580536),(0.349010,0.499247),(0.353755,0.450718),(0.359910,0.410139),(0.315103,0.590403),(0.306039,0.514516),(0.307046,0.467363),(0.311786,0.428127),(0.285158,0.617041),(0.255681,0.567238),(0.239091,0.532692),(0.226874,0.497613)","(0.339459,0.781538),(0.393554,0.750038),(0.441132,0.698432),(0.480364,0.660126),(0.513195,0.644309),(0.383899,0.589571),(0.400624,0.519633),(0.411136,0.477171),(0.421442,0.437672),(0.347674,0.580536),(0.349010,0.499247),(0.353755,0.450718),(0.359910,0.410139),(0.315103,0.590403),(0.306039,0.514516),(0.307046,0.467363),(0.311786,0.428127),(0.285158,0.617041),(0.255681,0.567238),(0.239091,0.532692),(0.226874,0.497613)"
13,dwell,S2H_ABS,5,0,"(0,4)",397.184951,51.457949,1,0,6.236068,26.067221,"(0.342193,0.780864),(0.396408,0.749190),(0.443913,0.698031),(0.483063,0.660062),(0.515701,0.644136),(0.386591,0.589563),(0.403298,0.519877),(0.413856,0.477350),(0.424204,0.437723),(0.350335,0.580375),(0.351598,0.499136),(0.356443,0.450455),(0.362502,0.409592),(0.317776,0.590209),(0.308614,0.514371),(0.309576,0.467272),(0.314126,0.427994),(0.287943,0.616942),(0.258471,0.567002),(0.242005,0.532407),(0.229811,0.497210)","(0.342193,0.780864),(0.396408,0.749190),(0.443913,0.698031),(0.483063,0.660062),(0.515701,0.644136),(0.386591,0.589563),(0.403298,0.519877),(0.413856,0.477350),(0.424204,0.437723),(0.350335,0.580375),(0.351598,0.499136),(0.356443,0.450455),(0.362502,0.409592),(0.317776,0.590209),(0.308614,0.514371),(0.309576,0.467272),(0.314126,0.427994),(0.287943,0.616942),(0.258471,0.567002),(0.242005,0.532407),(0.229811,0.497210)"
13,dwell,S2H_ABS,5,0,"(0,4)",448.154919,61.507824,1,0,8.236068,40.385042,"(0.344881,0.780965),(0.399270,0.748625),(0.446740,0.696761),(0.485887,0.658500),(0.518888,0.642984),(0.390065,0.589112),(0.406786,0.519552),(0.417064,0.476934),(0.427127,0.437046),(0.353744,0.580127),(0.355107,0.498832),(0.360001,0.450324),(0.366013,0.409456),(0.321191,0.589986),(0.311981,0.514190),(0.312821,0.467214),(0.317201,0.427906),(0.291331,0.616780),(0.262260,0.567045),(0.245994,0.532601),(0.233883,0.497370)","(0.344881,0.780965),(0.399270,0.748625),(0.446740,0.696761),(0.485887,0.658500),(0.518888,0.642984),(0.390065,0.589112),(0.406786,0.519552),(0.417064,0.476934),(0.427127,0.437046),(0.353744,0.580127),(0.355107,0.498832),(0.360001,0.450324),(0.366013,0.409456),(0.321191,0.589986),(0.311981,0.514190),(0.312821,0.467214),(0.317201,0.427906),(0.291331,0.616780),(0.262260,0.567045),(0.245994,0.532601),(0.233883,0.497370)"
13,dwell,S2H_ABS,5,0,"(0,4)",496.084390,76.373893,1,0,10.472136,55.149865,"(0.348162,0.782800),(0.401838,0.750423),(0.449392,0.697309),(0.489017,0.658855),(0.522097,0.643609),(0.393519,0.589956),(0.410393,0.520606),(0.420560,0.477778),(0.430508,0.437713),(0.357169,0.580831),(0.358618,0.499548),(0.363186,0.450815),(0.369193,0.409759),(0.324536,0.590493),(0.315539,0.514431),(0.316594,0.467307),(0.321528,0.428134),(0.294589,0.617219),(0.265290,0.567382),(0.248761,0.532940),(0.236612,0.497901)","(0.348162,0.782800),(0.401838,0.750423),(0.449392,0.697309),(0.489017,0.658855),(0.522097,0.643609),(0.393519,0.589956),(0.410393,0.520606),(0.420560,0.477778),(0.430508,0.437713),(0.357169,0.580831),(0.358618,0.499548),(0.363186,0.450815),(0.369193,0.409759),(0.324536,0.590493),(0.315539,0.514431),(0.316594,0.467307),(0.321528,0.428134),(0.294589,0.617219),(0.265290,0.567382),(0.248761,0.532940),(0.236612,0.497901)"
